Value,Measurement,Hour ,Plate,BioRep,Unique
59745000,Live,25,w/B.thailandensis,1,1
57844500,Live,25,w/B.thailandensis,1,2
47488000,Live,25,w/B.thailandensis,1,3
68050500,Live,25,w/B.thailandensis,1,4
66461500,Live,25,w/B.thailandensis,1,5
58712500,Live,30,w/B.thailandensis,1,1
49171500,Live,30,w/B.thailandensis,1,2
50053500,Live,30,w/B.thailandensis,1,3
43946000,Live,30,w/B.thailandensis,1,4
52251500,Live,30,w/B.thailandensis,1,5
67039000,Live,35,w/B.thailandensis,1,1
49045500,Live,35,w/B.thailandensis,1,2
55020000,Live,35,w/B.thailandensis,1,3
54645500,Live,35,w/B.thailandensis,1,4
57939000,Live,35,w/B.thailandensis,1,5
44541000,Live,40,w/B.thailandensis,1,1
49038500,Live,40,w/B.thailandensis,1,2
57701000,Live,40,w/B.thailandensis,1,3
73178000,Live,40,w/B.thailandensis,1,4
63675500,Live,40,w/B.thailandensis,1,5
47922000,Live,45,w/B.thailandensis,1,1
43176000,Live,45,w/B.thailandensis,1,2
34979000,Live,45,w/B.thailandensis,1,3
63003500,Live,45,w/B.thailandensis,1,4
73297000,Live,45,w/B.thailandensis,1,5
67020000,Live,25,3mem,1,1
62240000,Live,25,3mem,1,2
38140000,Live,25,3mem,1,3
51480000,Live,25,3mem,1,4
53900000,Live,25,3mem,1,5
49980000,Live,30,3mem,1,1
47152000,Live,30,3mem,1,2
51971500,Live,30,3mem,1,3
52619000,Live,30,3mem,1,4
44390500,Live,35,3mem,1,1
40673500,Live,35,3mem,1,2
45325000,Live,35,3mem,1,3
51054500,Live,35,3mem,1,4
67613000,Live,35,3mem,1,5
53655000,Live,40,3mem,1,1
52909500,Live,40,3mem,1,2
44915500,Live,40,3mem,1,3
55723500,Live,40,3mem,1,4
50193500,Live,40,3mem,1,5
42175000,Live,45,3mem,1,1
36522500,Live,45,3mem,1,2
25476500,Live,45,3mem,1,3
45314500,Live,45,3mem,1,4
37366000,Live,45,3mem,1,5
550250000,Live,25,Monoculture,2,6
608100000,Live,25,Monoculture,2,7
511500000,Live,25,Monoculture,2,8
584800000,Live,25,Monoculture,2,9
441800000,Live,25,Monoculture,2,10
897525000,Live,30,Monoculture,2,6
430065000,Live,30,Monoculture,2,7
768285000,Live,30,Monoculture,2,8
338895000,Live,30,Monoculture,2,9
399645000,Live,30,Monoculture,2,10
954675000,Live,35,Monoculture,2,6
852975000,Live,35,Monoculture,2,7
741015000,Live,35,Monoculture,2,8
740250000,Live,35,Monoculture,2,9
521820000,Live,35,Monoculture,2,10
749160000,Live,40,Monoculture,2,6
1513125000,Live,40,Monoculture,2,7
1395855000,Live,40,Monoculture,2,8
653760000,Live,40,Monoculture,2,9
1582650000,Live,45,Monoculture,2,6
975375000,Live,45,Monoculture,2,7
1234350000,Live,45,Monoculture,2,8
844515000,Live,45,Monoculture,2,9
435850000,Live,25,w/C.violaceum,2,6
494450000,Live,25,w/C.violaceum,2,7
392200000,Live,25,w/C.violaceum,2,8
422100000,Live,25,w/C.violaceum,2,9
523950000,Live,25,w/C.violaceum,2,10
638900000,Live,30,w/C.violaceum,2,6
628900000,Live,30,w/C.violaceum,2,7
672800000,Live,30,w/C.violaceum,2,8
693150000,Live,30,w/C.violaceum,2,9
1059500000,Live,30,w/C.violaceum,2,10
1065250000,Live,35,w/C.violaceum,2,6
673950000,Live,35,w/C.violaceum,2,7
745200000,Live,35,w/C.violaceum,2,8
564500000,Live,35,w/C.violaceum,2,9
774700000,Live,35,w/C.violaceum,2,10
966500000,Live,40,w/C.violaceum,2,6
976500000,Live,40,w/C.violaceum,2,7
782550000,Live,40,w/C.violaceum,2,8
762400000,Live,40,w/C.violaceum,2,9
760400000,Live,40,w/C.violaceum,2,10
1567550000,Live,45,w/C.violaceum,2,6
1042950000,Live,45,w/C.violaceum,2,7
1032400000,Live,45,w/C.violaceum,2,8
613550000,Live,45,w/C.violaceum,2,9
677600000,Live,45,w/C.violaceum,2,10
92400000,Live,25,w/B.thailandensis,2,6
78350000,Live,25,w/B.thailandensis,2,7
80650000,Live,25,w/B.thailandensis,2,8
73900000,Live,25,w/B.thailandensis,2,9
84600000,Live,25,w/B.thailandensis,2,10
62058500,Live,30,w/B.thailandensis,2,6
82047000,Live,30,w/B.thailandensis,2,7
81224500,Live,30,w/B.thailandensis,2,8
76545000,Live,30,w/B.thailandensis,2,9
58695000,Live,30,w/B.thailandensis,2,10
88389000,Live,35,w/B.thailandensis,2,6
50967000,Live,35,w/B.thailandensis,2,7
58404500,Live,35,w/B.thailandensis,2,8
94783500,Live,35,w/B.thailandensis,2,9
86432500,Live,35,w/B.thailandensis,2,10
62023500,Live,40,w/B.thailandensis,2,6
81074000,Live,40,w/B.thailandensis,2,7
68782000,Live,40,w/B.thailandensis,2,8
80433500,Live,40,w/B.thailandensis,2,9
63546000,Live,40,w/B.thailandensis,2,10
65730000,Live,45,w/B.thailandensis,2,6
80692500,Live,45,w/B.thailandensis,2,7
57750000,Live,45,w/B.thailandensis,2,8
80454500,Live,45,w/B.thailandensis,2,9
61439000,Live,45,w/B.thailandensis,2,10
51383500,Live,25,3mem,2,6
61092500,Live,25,3mem,2,7
62604500,Live,25,3mem,2,8
33957000,Live,25,3mem,2,9
46368000,Live,25,3mem,2,10
41020000,Live,30,3mem,2,6
53700500,Live,30,3mem,2,7
55205500,Live,30,3mem,2,8
54306000,Live,30,3mem,2,9
34867000,Live,30,3mem,2,10
90916000,Live,35,3mem,2,6
64207500,Live,35,3mem,2,7
88354000,Live,35,3mem,2,8
93075500,Live,35,3mem,2,9
85078000,Live,35,3mem,2,10
40974500,Live,40,3mem,2,6
67935000,Live,40,3mem,2,7
29074500,Live,40,3mem,2,8
56966000,Live,40,3mem,2,9
41156500,Live,40,3mem,2,10
84773500,Live,45,3mem,2,6
22582000,Live,45,3mem,2,7
25809000,Live,45,3mem,2,8
33334000,Live,45,3mem,2,9
61089000,Live,45,3mem,2,10
