,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
393.664844178317/563.173691566104,14.25489,13.25204,13.36889,13.02504,12.98313,13.39278
527.73246042352/700.323869798174,12.353113,12.429479,12.349093,12.377649,12.232827,12.189349
556.768651058799/880.216434269714,12.76164,12.911066,12.755551,12.80821,12.987194,12.824565
533.536985163103/593.167197631858,11.375114,12.100879,11.776247,11.690682,11.977162,11.508855
366.760772169682/504.065838600891,12.400543,11.552849,11.402734,11.11048,11.143484,11.341504
521.188016121848/609.168663620612,12.58212,12.238235,12.41162,12.146169,12.243318,12.052452
562.959331311678/574.216395839222,12.719458,13.256267,13.218334,12.530935,12.807881,12.414642
525.574462355229/547.17245099532,12.403302,11.41448,11.205257,10.602389,11.192027,11.171285
560.611325983416/254.150248182392,13.32295,13.27655,12.96029,12.62913,12.72848,12.38754
351.921778628701/594.155521474335,13.76694,14.38672,14.25813,14.25227,14.24675,13.89675
646.162177905702/450.260483159545,12.255872,12.302946,12.074237,12.199194,12.197599,11.910066
557.782477663274/882.212602510235,12.259328,12.575211,12.476199,12.411616,12.489741,12.566091
560.617124323259/674.145578330874,12.654126,12.974719,12.706878,12.638088,12.798857,12.788587
603.476244474712/698.397182840919,11.051395,11.099244,10.854189,10.909911,10.703793,10.734073
487.540649414062/678.072890655546,12.497198,12.465842,12.547021,12.862763,12.976148,12.821805
392.163333825898/564.167537458885,13.45073,12.616162,12.561,12.338377,12.313254,12.43456
517.845948336417/693.109596864419,12.09958,12.279899,12.295128,11.943339,12.410895,12.039972
609.960230777138/268.167472354185,13.19628,12.96605,12.99631,12.7385,12.88514,12.5275
544.253220942982/753.284100614097,13.16126,12.91258,13.04315,12.80916,12.95751,12.8302
393.630456757127/610.169467152627,12.308495,13.115529,13.055709,13.131285,13.071168,12.763813
559.127012018572/797.28600626562,12.626799,12.498112,12.593994,12.629278,12.66808,12.525856
390.325965212103/564.167672049012,13.45073,12.616162,12.561,12.338377,12.313254,12.43456
1026.27575148198/790.538833256935,11.651192,11.68047,11.704773,11.778936,11.629721,11.557788
663.707771167421/598.366640754808,10.987744,10.534173,10.45836,10.405729,10.370926,10.685757
386.128722609135/609.175791487946,13.14738,14.107173,13.912795,13.966705,14.137357,13.687888
970.68121980366/862.427300836545,11.436117,11.291897,11.404534,11.633777,11.247426,11.626725
519.458072595429/514.200803479221,11.726243,10.812269,10.954762,10.744978,10.910069,10.916122
557.221439830044/852.22169466224,12.65182,12.535347,12.625405,12.54446,12.655487,12.408894
535.569863838062/594.160353042733,10.150001,11.322455,10.836332,10.830073,11.012262,10.596321
612.115616647821/284.162714135467,12.52653,12.38533,12.35167,11.75769,11.68762,11.63844
970.400282474986/830.489130822149,12.008936,12.129612,11.989271,12.08156,11.899968,11.975599
520.58922750908/548.172572065505,11.655102,10.693148,10.647091,10.646841,10.649919,10.437801
556.944582219709/739.284308076003,12.321751,12.315872,12.29136,12.135338,12.352729,12.118967
557.335617333128/881.215730451225,11.483396,11.835185,11.972905,11.948291,12.000159,11.87946
392.579684073465/708.096938447431,11.844789,12.028804,12.289223,12.205382,12.603258,12.423486
669.080688476562/280.167211025751,11.945169,11.75497,11.718275,11.531933,11.340307,11.553356
366.352823893229/551.076072668757,11.373568,11.539955,11.598577,11.478679,11.443381,11.044431
556.454881634629/854.220460233613,12.257426,12.17348,12.032584,11.97377,11.976361,11.938685
597.818223384389/717.414544163141,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
391.772264447129/610.171443926988,12.308495,13.115529,13.055709,13.131285,13.071168,12.763813
172.572860583924/381.058547193294,12.173506,12.071714,12.043024,11.958591,11.636821,11.869257
970.406745776796/764.51418535315,11.527696,11.645392,11.869749,11.727175,11.501909,11.716892
561.086553205524/431.170335002907,15.25581,15.63239,15.33816,15.09212,15.23266,14.82777
554.831473367256/799.286264985936,11.908829,12.010281,11.938411,11.905249,12.14726,12.046388
331.721757855332/520.063035510674,11.960929,11.356592,11.317473,11.099112,10.891581,11.276616
524.164298074287/560.20414596901,11.310479,11.948204,11.901289,11.820178,11.877485,11.600181
542.980943110951/754.282287483749,12.256832,12.083052,12.129076,11.879501,12.01414,11.942119
523.079455994723/694.103162083816,11.199677,11.240843,11.519181,11.20133,11.342038,11.037679
912.755267226905/734.474072629082,10.767312,10.718721,10.679838,11.193177,11.149203,10.939864
524.378331769977/660.132715881854,11.310808,11.271763,11.519067,11.594099,11.735739,11.568535
393.969493129797/680.102388276928,12.059762,12.048272,11.874627,12.048066,12.342568,11.992019
715.29170200281/481.357768637562,11.346656,11.54073,11.429928,11.065003,11.052035,10.751134
532.126298335561/664.114339606985,10.514659,10.633723,10.620569,10.222367,10.269703,10.468701
529.803862989995/702.32478829024,10.572978,10.565814,10.604217,10.514328,10.428076,10.557508
564.595916212651/591.207947186579,11.280598,10.988652,10.98163,11.072649,10.988938,10.858376
850.000861987733/705.436806989404,10.640643,10.661909,10.883756,10.859316,11.202673,10.579366
358.084055047286/549.158106525249,12.261233,11.085813,11.170779,10.9793,11.013485,11.313528
557.388547663103/848.281846147295,9.616778,9.561525,8.846771,9.126876,8.420215,8.402175
353.421268931606/595.155889936759,11.4891,11.931633,11.984267,11.864777,12.10068,11.359833
535.343662195038/701.327038109833,10.597232,10.447981,10.633022,10.439578,10.341357,10.545434
390.015771698533/708.097707119644,11.844789,12.028804,12.289223,12.205382,12.603258,12.423486
674.65281275699/328.189768815689,10.362047,12.738455,12.254252,13.100501,13.075631,11.806767
561.847792240611/529.219429143175,10.811164,9.99123,9.938253,8.714524,9.288953,9.514817
550.249580249452/720.269322852002,11.375801,11.4492,11.399028,11.298297,11.16395,11.529886
500.626736289576/595.146701960731,10.932038,10.49949,10.637637,10.793705,10.982371,10.859949
981.914701762952/535.312296754669,11.138687,10.922301,10.818722,10.857129,10.787449,11.1067
978.041113067092/863.431253876509,10.579926,10.556152,10.625149,10.680602,10.338479,10.633324
367.234438176741/552.071617760325,10.493424,10.639976,10.411066,10.58242,10.446797,10.19763
663.50606710869/281.175140355786,11.37945,11.125946,11.202588,11.127483,10.833886,10.717228
485.653597112288/679.081589194287,10.808382,10.971406,10.703634,11.388371,11.413768,11.284071
634.35773133395/622.378693551806,9.342103,9.313371,9.410761,9.307402,9.580417,9.520121
563.311142235471/675.151760325162,11.109374,11.328537,11.256909,11.051195,11.17715,11.537331
475.072629158957/579.168964806994,9.521923,10.237117,10.417233,10.705601,11.208986,10.161074
558.422109503495/883.217580804262,10.701348,10.94538,10.939178,10.832031,10.874944,10.926513
597.490963584498/698.398215537727,11.051395,11.099244,10.854189,10.909911,10.703793,10.734073
44.1055964419716/382.067945854583,11.486165,11.369694,11.516358,11.179965,10.806702,11.271712
174.602140593947/383.058035185274,11.494016,11.432131,11.499771,11.295393,11.101262,11.236707
329.718965764631/566.071060841726,10.291274,11.014492,10.895549,10.951179,10.886585,10.624662
390.602931507847/680.103540177103,12.059762,12.048272,11.874627,12.048066,12.342568,11.992019
603.122435452645/719.418213672477,9.266789,9.280119,9.589037,9.430507,9.324253,9.327193
1016.85172418962/615.442577437148,10.133735,10.41453,10.27534,9.927329,9.846206,10.263548
45.4477369743481/571.988053861547,11.245555,11.301087,11.029141,11.261742,11.240659,10.960063
31.2922630979304/910.805864162345,13.28324,13.09899,13.25519,13.37734,13.20448,13.3591
558.175139310067/853.223445484074,11.509552,11.181789,11.24214,11.19856,11.050986,11.188619
359.879849082545/548.150685340856,14.66532,13.60598,13.68117,13.27344,13.31526,13.49553
564.66240919682/575.217859319989,10.340266,11.065583,10.943423,10.429028,10.591869,10.549087
663.757226776658/292.161713154321,11.385221,11.558385,11.439913,11.017009,11.129025,10.915468
669.357652095326/284.192993543515,11.424043,11.410725,11.185849,11.608427,11.559289,11.29902
751.348562140214/298.179661475253,11.85381,11.852478,11.69854,11.624913,11.576643,11.338531
393.080633330763/625.163846102471,11.331543,11.30225,11.33041,11.307256,11.444947,11.199502
549.92726536801/722.271567951056,11.010511,10.838593,10.698879,10.779851,10.952658,10.620761
556.738597133703/772.261774515629,10.80971,10.899048,10.790769,10.662535,10.789228,10.696833
359.533984267921/550.155227823092,11.649626,10.544068,10.815139,10.245533,10.163988,10.679792
371.119932475843/541.019925575353,11.183909,10.876489,10.762558,10.998811,10.493951,10.643935
374.024439226117/505.077326926048,9.938052,9.00248,8.981246,8.98096,9.277326,9.364738
648.708021732799/450.260013622352,12.255872,12.302946,12.074237,12.199194,12.197599,11.910066
33.4585615124619/978.788579159421,13.1891,13.02083,13.18995,13.13934,13.12862,13.22757
556.439545748527/770.266931605603,10.727093,10.727417,10.590267,10.334173,10.520699,10.770767
533.20647550884/610.158850816656,9.971255,9.446141,10.374079,9.864143,10.100416,9.729028
353.522251062226/595.158392106735,11.4891,11.931633,11.984267,11.864777,12.10068,11.359833
354.909672787315/596.154518201321,10.459074,11.238087,11.167568,11.193267,11.220076,10.800309
558.645246003803/798.287204855404,10.847976,10.651083,10.517066,10.794312,10.75086,10.882444
575.521854869106/702.394732862309,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
53.0298597770825/176.935317774148,16.648615,16.13663,15.999069,15.99062,15.713106,15.580705
671.73084566886/284.195832241547,11.424043,11.410725,11.185849,11.608427,11.559289,11.29902
359.600878799171/550.155214717263,11.649626,10.544068,10.815139,10.245533,10.163988,10.679792
542.580209832442/896.212928288251,10.294901,10.727086,10.596028,10.831495,10.848889,10.790737
559.596545838473/884.22073916126,10.060697,10.237724,10.418957,9.977655,10.560311,10.416549
522.452718098958/560.205785290605,11.310479,11.948204,11.901289,11.820178,11.877485,11.600181
553.66733055784/642.207441762079,9.634991,9.447751,8.699722,8.845645,8.769237,8.444807
390.438509757059/709.098369965841,9.898991,10.437812,10.704538,10.758019,10.656229,10.689105
625.247122781319/716.409587661715,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
44.7749126501251/384.061797279829,10.727305,10.840055,10.946749,10.454887,10.608384,10.582657
503.036210980332/500.171333695146,9.671717,8.93447,8.533486,8.652184,9.108124,8.708328
560.64093445895/855.225610490476,10.65279,10.595666,10.422875,10.653313,10.421151,10.84693
555.483440733792/787.199376853645,10.482133,10.66009,10.515877,10.672682,10.470863,10.497494
593.88762785259/425.297640849947,9.521822,9.941662,9.916935,10.032688,9.611507,9.782195
972.279367547286/846.472779183768,10.432586,10.147427,10.525578,10.439061,10.024876,10.36144
501.817844859341/534.154271885785,9.724972,9.31325,9.374127,9.337695,9.078349,9.82887
560.967841432806/662.33227796537,10.448392,10.421565,10.360716,10.727218,10.592814,10.552415
973.911501165022/845.458025887274,10.647439,10.491584,10.753174,10.601428,10.018851,10.325683
541.077912983141/791.310157996224,10.527528,10.599775,10.751115,10.587371,10.575618,10.793694
592.045756022135/622.382945367472,9.342103,9.221383,9.213798,9.307402,9.120807,9.018827
536.29612544545/517.261850463642,10.45281,10.124907,10.095519,10.279801,9.898648,10.12627
983.625712076823/813.501233066031,10.208378,10.376869,10.051037,10.051047,10.340878,10.115623
597.563364129317/717.414843350951,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
545.658576831483/898.211619716375,10.026392,10.111407,10.311952,10.174244,10.647206,10.374515
44.0951756929096/526.988479723404,10.671078,10.700016,10.734573,10.135813,10.424322,9.54977
1030.36531361362/857.521140337121,9.613341,9.446962,9.981612,9.933445,10.002847,9.559267
650.960263971697/451.262217192172,9.716664,9.691556,9.795413,9.654164,9.915531,9.720442
481.654282419305/580.161988601241,8.665342,9.899457,10.25136,9.910567,9.787566,9.52708
521.158651251542/582.150933220946,9.293595,9.020688,9.142669,9.218469,8.963916,9.259913
356.065672221937/694.081959178555,10.156247,10.491739,10.635219,10.403441,10.445009,10.388035
362.18354556435/458.076882967812,9.5299,9.91428,9.750685,9.608965,9.764323,9.635743
484.306425931161/680.079278807121,9.638696,9.857634,9.992391,10.031766,10.417815,10.143511
667.775020130894/300.189148606158,10.604701,10.144261,10.215731,10.190231,10.196931,10.117759
970.83235034608/824.493246635378,9.701521,9.984477,9.698536,9.996898,9.671916,9.772508
591.875843784265/622.383479714242,9.342103,9.221383,9.213798,9.307402,9.120807,9.018827
392.587703771758/625.165327470371,11.331543,11.30225,11.33041,11.307256,11.444947,11.199502
523.838508472108/660.153124533093,11.310808,11.239668,11.519067,11.594099,11.735739,11.568535
540.058545028954/144.923256352069,11.075349,9.613764,9.449473,9.459149,9.201999,9.556084
396.531597472074/565.169897606149,10.656469,9.886629,10.028804,9.313018,9.984641,9.834835
389.399387828091/753.091914086571,10.394231,10.533604,10.355382,10.612485,10.44654,10.322451
1038.44814474541/791.547346753269,9.336424,9.520698,9.722822,9.547729,9.362673,9.150441
543.678526761239/813.278152873247,10.55136,10.665255,10.643714,10.867031,10.977512,10.617746
783.155098898369/677.405155240041,9.522362,9.912559,9.825043,9.720668,9.448819,9.735546
371.477791234067/543.019022927971,10.406427,9.876404,10.142332,10.170264,9.936058,10.140111
369.020875629626/506.067399874251,9.56506,8.328427,8.623641,7.583086,7.958996,8.599169
525.326039632161/515.201199935326,9.589422,8.56908,8.695396,8.901702,9.203786,9.267628
559.042618600946/676.147386688878,9.483818,9.693592,9.264776,9.433648,10.183721,10.250209
45.0229472779391/573.984461338916,10.281223,10.451564,10.084241,10.508691,10.3306,10.04106
599.754646167421/719.417449248817,9.266789,9.280119,9.589037,9.430507,9.324253,9.327193
482.500897859272/646.111220152056,9.106815,9.406665,9.572517,9.770948,9.554443,9.494194
970.988132409882/897.466289359284,10.145933,10.110367,9.987651,10.154887,10.103858,10.212121
392.227000454016/611.169784811564,9.69523,10.953307,10.430025,10.687372,11.114299,10.165397
530.76084391276/577.192578070159,10.001479,9.512974,9.986666,9.907326,9.882612,10.084873
553.678229081003/736.278028161047,17.12065,17.19221,17.16788,17.07753,17.10429,16.8904
549.882345634594/255.157434613114,10.450231,10.817616,10.175632,10.245323,9.988602,9.821117
845.518353378564/706.441419520985,9.049661,8.935092,9.130053,9.551151,8.934066,8.940884
553.336297286184/800.287761830772,10.120239,9.949721,9.779078,10.138057,10.151387,9.992237
526.291753400836/661.133147103158,9.650162,10.095241,9.708579,9.795585,10.165115,10.287278
390.969529001336/681.104289356552,10.409689,10.435575,10.360732,10.533365,10.636689,10.600025
395.252036111397/565.170347141919,10.656469,9.886629,10.028804,9.313018,9.984641,9.834835
562.85917690344/646.151858504606,9.146911,8.812661,9.575983,8.640992,8.895841,9.264452
358.705778423109/666.088949262828,9.978774,10.086893,10.203235,10.155397,10.470146,10.185846
567.797375059964/530.21699706907,9.759473,8.502803,8.833025,8.090227,8.240705,8.926336
791.369428668106/288.15895802122,9.719986,9.65691,9.498248,8.779785,8.663979,9.122023
533.799282676295/793.307282604943,10.021076,9.83401,9.95216,10.14476,10.630242,9.946384
519.892739279228/737.095556147119,8.69028,9.371831,8.999154,8.910571,8.418779,8.955287
567.782085217928/835.335187861552,7.59994,7.92306,8.402641,8.436644,8.256529,8.386108
592.484294690584/425.297483280797,9.521822,9.941662,9.916935,10.032688,9.611507,9.782195
976.427339252673/831.491812622752,10.043454,10.113617,10.151944,10.001421,10.215855,9.869942
520.98524983724/514.202951056275,11.726243,10.812269,10.954762,10.744978,10.910069,10.916122
637.393299838953/623.383412879534,8.700446,8.392608,8.007484,8.453431,8.337213,8.458354
528.683421352453/385.303996092966,10.572701,10.408589,10.473265,10.588771,10.346547,10.426369
682.483777497944/293.174109824308,10.42278,10.373968,10.031185,10.166329,10.299965,9.664211
546.499351099918/868.223608031584,10.087829,10.226597,10.262013,10.369854,9.964277,10.28324
31.274263381958/1300.70786050094,12.27444,11.9714,12.26251,11.7993,12.00709,12.09886
972.51571708813/901.414719888699,9.80773,10.162661,9.885491,9.847138,9.961792,9.747011
610.249548125685/269.173269527482,10.484025,10.616456,10.445057,10.367616,10.179874,9.963156
565.236177143298/789.201445724383,9.995798,10.056501,9.694769,9.809435,9.728091,9.738528
606.060907731976/717.413253279842,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
31.2702807376259/1054.76374747944,12.59742,12.46914,12.56033,12.69892,12.47949,12.67852
973.655037863213/909.423899601799,9.179355,9.968553,10.095855,10.28165,10.197374,9.914256
509.904477838884/546.184824807355,14.753881,13.698041,13.774554,13.221635,13.24142,13.602006
31.2950528462728/1062.75568316215,11.77913,11.44751,11.5314,11.77356,11.20175,11.59185
533.390300014563/666.108811126496,9.62422,9.059092,8.496826,8.934931,9.082041,9.270854
572.804288094504/776.395370991634,7.624538,8.297174,8.902214,8.228653,8.705049,8.263784
528.850759405839/611.159623160711,9.262098,8.642842,8.866748,9.208785,9.202992,9.283794
31.2342453672175/1258.72816584218,11.916734,11.657347,11.740024,11.823155,11.800763,11.883401
489.576056764837/650.105997097976,8.98499,9.055981,9.152899,9.163162,9.715967,9.473243
655.410734477796/1077.81611254359,11.86524,12.161544,12.359512,11.891902,12.199412,12.042275
555.082261470326/835.20678444089,9.631339,9.584119,9.579611,9.612174,9.778955,9.762221
520.997717606394/561.205792219075,8.855061,10.051212,9.753924,9.780001,10.223888,9.760835
45.6753335584674/527.983224283784,9.91588,10.018413,9.961214,10.030187,9.821724,9.914751
837.855881005003/352.28417549603,9.396646,9.401559,9.523914,9.563588,9.548843,9.432185
604.295204564145/1434.83973681843,5.555049,6.263481,6.237991,6.588748,6.38401,6.623873
613.107649953742/859.500268147771,9.19722,9.32863,8.968138,9.285377,9.241127,9.75488
562.249421772204/833.20346744409,9.820301,9.766226,9.659805,9.721594,9.311458,9.60902
391.546983150014/598.145734197863,10.239095,10.24237,10.526701,10.456535,10.026544,9.775211
513.8184006005/595.163814687791,10.932038,10.49949,10.637637,10.668564,10.893966,10.859949
666.217109546327/599.371729700664,8.507802,8.39216,8.146149,7.801573,7.861007,8.134744
614.157451428865/256.167694953518,10.188944,10.270799,10.105444,10.134564,9.888097,10.117759
716.106756913035/482.361948670978,9.472954,9.362734,9.416785,9.404931,9.283711,9.014292
557.466775459156/879.212949175744,9.399273,10.227138,9.858485,9.93801,9.821438,9.76072
432.172301710698/530.158721433759,10.017701,9.473281,9.875429,9.498733,9.468974,9.510739
44.2802809330455/528.988141234052,10.112729,9.916388,9.999954,9.544796,10.053829,10.046133
558.860090824596/834.212231035022,9.597963,9.435129,9.171683,9.370905,9.639121,9.515305
609.417879874246/285.167844180801,9.627114,9.696359,9.567885,9.138648,9.700195,9.100586
568.478739420573/576.211790403458,8.523569,9.858379,9.685315,9.429943,9.10653,9.381073
471.455790201823/590.183858738877,8.731325,10.274991,10.029069,10.03417,9.707109,9.467851
527.072899533991/703.328654310581,8.809487,9.085779,8.971154,9.36825,9.03042,9.34259
388.525791636684/753.091742335656,10.394231,10.533604,10.355382,10.612485,10.44654,10.322451
391.76694956997/710.095580863684,9.177616,9.884935,9.46353,9.424816,10.066118,9.928768
578.427511650219/849.526440607185,8.691479,9.010731,9.01769,8.899318,8.552643,9.385766
31.148017649065/1224.73445094001,11.993046,11.867249,11.663198,11.846772,11.729409,11.589429
550.398454632675/815.287308474473,10.326219,9.842928,10.295657,10.226713,10.402495,10.229396
671.785189444559/412.170425929307,9.521262,9.876621,9.349568,8.800694,8.677184,8.6732
666.150987056264/361.175069910694,9.971545,10.764598,10.715685,10.41555,10.434703,10.255617
673.631051046806/318.161476078962,10.074662,10.111067,10.082505,10.428162,10.557058,10.491805
520.771199008875/695.103652972979,9.472274,9.505352,8.804404,9.005287,9.701406,9.553162
522.95894582648/660.133278013244,11.310808,11.271763,11.519067,11.594099,11.735739,11.568535
592.718965229235/718.416916387976,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
544.348153097588/755.282074232478,9.909894,10.07842,10.139779,9.624264,10.161473,9.649655
561.53926059656/870.227067815141,13.35181,13.22924,13.07973,12.93088,12.94235,12.881
563.097769753975/532.112468976838,11.806849,11.673576,11.545497,11.706239,11.742815,11.180752
696.273493181195/260.126034227509,9.122222,9.308823,9.457233,8.97177,9.329538,8.803986
31.2802281630667/714.834013725628,11.54675,12.19503,11.97743,12.04405,12.03957,11.83462
328.640109413549/521.064739786466,9.404734,8.775066,9.080314,9.060957,8.614652,9.194079
31.2882453182287/1020.77844120538,12.67627,12.36844,12.71207,12.4808,12.79156,12.57469
607.550351862322/748.402568246726,7.825326,7.747146,7.742511,7.428017,7.166407,7.498269
542.876685426946/897.214586635821,9.009282,9.280455,9.790354,9.307459,9.821561,9.671722
390.969474390933/611.170456103592,9.69523,10.953307,10.430025,10.687372,11.114299,10.165397
297.323071396142/423.066476663133,9.248938,9.093035,8.834941,9.073674,9.248938,9.01525
390.151579739755/709.0999181393,9.898991,10.437812,10.704538,10.758019,10.656229,10.689105
510.551192969607/144.923265338029,11.075349,9.613764,9.535033,9.459149,9.201999,9.556084
552.944073593407/721.276162121811,9.756558,9.726834,9.741542,9.473656,9.996608,9.072981
673.748558713679/565.370924978874,9.054788,9.46129,9.005751,9.726282,9.728772,9.356891
556.909616570724/740.287924648859,9.670658,9.496005,10.050622,9.348192,9.229108,9.180957
556.169837282415/836.213400525592,9.326432,9.313702,9.699718,9.488783,9.021661,9.378659
31.2361927701716/843.321632165503,11.538189,11.404121,11.425082,11.399346,11.475787,11.446452
909.813939144737/735.476542482173,8.443206,8.996173,8.704655,9.058311,9.124907,9.240243
392.085107100637/682.09965913763,10.004926,9.864326,10.036238,9.917763,9.64102,10.120476
575.205480742873/776.393198747351,7.624538,8.297174,8.902214,8.228653,8.705049,8.263784
1012.95123826412/686.467966057455,8.519787,8.299032,8.757825,8.849231,8.589341,8.893065
556.787446139152/738.27373287552,14.648864,14.638786,14.524497,14.458077,14.438853,14.412907
31.2743158507765/994.77781746608,11.85748,11.48864,11.79789,11.77428,11.9131,11.37105
449.155704966763/369.235703172575,8.403814,9.395168,8.730756,9.23212,8.603377,8.782973
203.976525022272/367.061796725836,9.236017,8.974401,8.639181,9.027511,8.867271,8.841004
1014.29071687397/616.444827493885,9.005713,8.609932,8.923473,8.805745,8.747869,8.688428
533.912440249794/592.212352004931,13.532367,11.6482,13.675313,12.302055,12.843211,12.838097
625.249124091968/716.40969981481,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
623.427751507675/717.411213288195,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
977.616652103893/761.576710781029,8.77943,8.88941,8.753071,9.133279,9.316052,8.417327
381.989790531627/611.158659085844,9.69523,10.953307,10.430025,10.687372,11.114299,10.165397
977.501098632812/658.441641209586,8.224309,8.577637,8.25137,8.399614,7.810742,8.78833
573.565478408546/703.396892456557,7.654271,7.747146,7.792581,7.967166,7.88743,7.705586
427.107330322266/533.017984518299,7.375076,6.977618,7.078773,7.365527,7.126759,6.739335
1028.95750132778/889.451727037725,8.672431,8.594232,8.944493,9.063092,8.86113,8.776686
665.941356993558/344.186363467024,7.97156,10.028029,9.449755,9.946743,10.170035,9.218582
665.562178762336/768.317841704955,9.334945,9.161546,9.360524,8.779415,8.778944,8.680001
583.119030333402/702.394155642238,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
566.993452105606/702.393405594563,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
559.684346516927/698.311862249272,9.419824,9.663469,9.271249,8.968068,9.270223,9.665245
883.346601519668/673.273096453037,15.27803,15.0613,14.84641,14.14226,13.93638,13.58257
577.314349258155/702.394684385269,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
801.262616073876/297.241947784105,13.17967,12.95024,12.93326,12.77301,12.8067,12.85799
553.034614429139/801.284522732213,8.873079,9.448186,9.187021,8.985102,9.134213,9.641814
31.3143682981792/1232.71340412325,12.45792,12.26415,12.18743,12.02107,12.33101,12.29849
553.593962016859/774.256153370936,9.252964,8.946307,9.591242,8.935928,8.886695,8.886808
355.869672808731/694.082064255369,10.156247,10.491739,10.635219,10.403441,10.445009,10.388035
36.6223333927623/978.757219855388,10.510425,11.515656,12.337641,12.122975,12.856364,12.581499
