Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,Label,Name
R1_25-2,0.483,12.064,7.843,11.836,0.86461,-1.327,-5.576,-1.3959,-0.25158,-2.6193,3.3861,0.49889,-2.6149,-3.4378,-1.7672,2.1002,1.6087,1.0634,-1.1924,-0.93167,4.3346,1.264,0.081128,1.3172,-0.79357,-0.66128,0.90423,-0.91386,-0.48969,-1.0716,-0.063204,0.33485,-1.0302,-1.8284,-0.68957,0.74293,0.2635,-0.071534,2.8662,0.91126,-0.90638,-0.20849,0.036318,0.53839,0.37924,-1.90E-14,25 h,R1
R2_25-1,-5.7171,16.288,-0.3548,-5.7262,2.4782,4.9327,0.05739,2.3723,1.7529,-3.1982,2.3228,-3.4089,-0.431,-1.6488,-3.9082,0.39509,-1.4328,0.70026,-1.1908,-3.4878,-2.989,-0.24804,0.77616,-1.449,-0.51629,-0.44431,1.0454,-0.85552,1.4527,-1.8897,-0.95119,-0.37795,0.94291,0.35128,-0.038578,2.5661,-2.4325,0.33272,-0.61184,-0.97216,-0.11369,0.14092,0.30918,0.27936,0.31004,-1.30E-14,25 h,R2
R2_25-2,-4.7051,13.091,-0.56189,-5.7829,-0.76028,-2.5391,-2.6082,5.2077,2.5531,-3.1416,-0.65024,-1.1893,-2.4896,-1.4,-2.0519,0.6454,-0.5829,-0.51609,-1.3764,-3.9817,-3.2045,0.7056,-0.50554,0.044066,0.96717,1.4822,-1.0364,1.3575,-2.3549,0.6967,1.1359,-1.3922,-0.56037,-0.70575,0.1191,-2.5004,1.8762,-1.0429,0.30087,1.0317,0.048577,-0.29171,0.30048,-0.63295,-0.30337,-1.53E-14,25 h,R2
R3_25-1,11.075,11.913,7.5341,-8.2629,-0.40085,-3.3551,2.9874,-2.9499,5.3266,3.2371,5.8198,1.9628,0.31473,-3.5849,2.8863,-0.64839,0.72088,0.21867,0.40602,2.4433,-0.0047506,0.57123,-2.0236,-1.9671,-0.80339,0.76278,0.69882,-1.1476,-0.43972,1.0979,-0.21728,-3.2606,0.94659,-0.85871,-0.94716,-0.13561,-0.93981,0.51404,-0.22143,0.46865,0.88043,-1.0452,0.37317,0.52134,-1.3272,-1.95E-14,25 h,R3
R3_25-2,9.7378,11.237,6.3184,-8.3549,-1.0517,-5.8361,3.1088,-1.48,5.7719,2.564,3.3066,4.2478,-0.90335,-2.1687,2.9479,-2.5228,-0.60947,-1.5182,-2.168,0.09848,-0.40822,-0.49939,-0.6513,-1.7822,0.99865,-0.38728,-1.3957,-0.37381,0.305,-1.0911,-0.10348,3.0502,-1.0988,1.5625,0.51935,0.68726,1.1629,-1.1562,0.44875,-0.63134,-1.3273,0.46623,-0.84465,-0.5348,1.1005,-1.61E-14,25 h,R3
R4_25-1,7.1517,7.751,-15.979,1.4282,-3.4403,-2.7573,-3.5243,-0.77387,0.34909,3.3524,4.4548,-1.2236,3.3859,1.1712,0.075103,-2.9523,0.80918,-0.56572,-2.2685,-0.48905,-0.19692,-0.75678,-0.48402,2.1525,-0.29194,-0.431,0.27133,0.16551,1.5552,-0.76091,1.3764,1.7096,-1.3068,-1.0163,-0.54793,-1.0618,-1.7408,0.086233,-0.88122,2.4476,1.9369,1.1449,0.49763,-0.43612,-0.38716,-1.62E-14,25 h,R4
R4_25-2,6.9606,7.228,-15.842,1.0347,-2.427,-1.662,-3.9232,-0.10636,0.32624,3.5228,4.4459,-1.0887,4.1175,1.732,-0.17567,-2.7578,-0.34867,0.30764,-2.6362,0.98101,-0.80072,0.86881,2.8694,2.5274,-0.8213,-0.61372,0.36846,0.67306,-0.93826,1.602,-0.64719,-1.9566,0.35284,0.048145,1.1527,0.39125,1.2869,0.81749,0.57386,-1.9857,-1.5363,-0.539,-0.55364,0.52426,0.64188,-1.31E-14,25 h,R4
R1_30-1,28.117,0.50141,8.8306,6.5507,-0.82034,-3.3287,-2.6131,-1.6147,-8.6698,0.041783,3.8704,2.4623,0.72381,-1.1231,2.0912,3.5616,-0.94224,0.75743,1.3764,1.1791,-2.9716,0.31562,1.2272,0.20567,0.68119,1.1039,0.35743,0.93802,0.52559,0.012497,1.3153,-0.059654,0.16225,-1.1878,0.3852,0.79312,-0.82364,-0.60479,-0.20123,-0.25707,0.43008,-1.1957,-0.55502,-2.7592,1.2664,-6.18E-15,30 h,R1
R1_30-2,25.754,-0.37609,6.9026,5.3892,-0.95307,-5.9925,-2.0754,-0.61077,-8.7468,0.041442,2.1222,3.8425,0.63537,0.76112,1.1603,2.6926,-2.6945,-2.1499,-0.1697,-0.37425,-2.1149,-1.1268,0.81509,0.021668,-0.32007,-0.088695,-1.4277,-0.07749,-0.40723,-1.0495,-1.0819,-0.30316,0.063902,0.94943,-0.74927,-0.61156,-4.55E-05,0.099447,0.014504,0.30717,-0.66202,1.6936,1.0066,2.862,-1.1832,-2.24E-14,30 h,R1
R2_30-1,21.092,3.3316,4.6422,-7.9892,-1.5743,0.1225,-4.7205,-1.1685,3.2641,-5.1151,1.5676,-4.4758,-1.1106,0.76069,1.7109,0.44881,0.37655,0.28791,2.1318,1.4323,0.75916,-1.3564,2.1449,0.95247,1.2232,0.96277,-1.359,0.063914,1.1571,0.72744,-0.1596,0.25459,0.89221,-0.0095861,1.0376,0.72448,1.1334,-1.3361,0.17215,0.60575,2.5655,-0.30375,0.35066,2.1103,1.6221,-1.78E-14,30 h,R2
R2_30-2,19.61,3.239,3.6033,-8.3132,-1.7103,-0.51922,-3.6265,0.6038,3.4957,-5.2815,1.2327,-3.4256,-1.3133,1.8072,1.627,0.28966,-0.0056998,-0.63843,1.4361,1.5269,2.595,-1.5047,2.2728,0.92583,1.5915,0.3462,-0.99908,1.6758,-1.0033,-0.97151,0.93356,-0.31088,-0.26549,0.42442,-1.9899,-0.18505,-1.5134,1.0891,-0.5222,-0.79197,-1.9682,0.93849,-0.22852,-1.4339,-1.4848,-2.38E-14,30 h,R2
R3_30-1,28.116,0.89607,12.165,-3.8801,-5.3034,-1.3511,5.8163,-1.0466,-0.34744,-1.1262,0.12555,-4.0105,1.2476,0.04374,0.65452,-0.50515,1.6098,-0.23023,3.5393,-0.76359,-0.95904,1.0708,-0.8112,1.5488,-2.0187,-0.993,2.5712,-0.76365,1.295,1.3383,-0.71632,0.095183,-0.2082,0.78603,1.2331,-0.56474,0.65207,-0.88276,-0.28915,1.3531,-2.4242,1.2721,1.4943,-0.7105,0.24542,-2.81E-14,30 h,R3
R3_30-2,26.573,0.073491,10.576,-4.5553,-6.0781,-2.4591,7.6331,1.0237,-0.86461,-0.76961,-0.8032,-1.5143,0.24362,2.7916,-0.44078,-0.59927,-1.6048,-4.5707,1.2512,-1.7954,0.72955,0.61393,-0.11653,0.41787,-3.433,0.13975,0.31396,0.29449,-1.1154,-0.35207,-0.41228,1.3191,-0.49161,-0.76689,-0.020012,-0.53114,-0.33116,1.6471,1.0437,-1.1525,1.8997,-1.2111,-1.8978,0.027088,-0.079963,-1.36E-14,30 h,R3
R4_30-1,24.238,-2.7842,-15.416,0.71348,-1.928,-0.9755,3.3024,-0.46709,-1.1311,-1.8918,1.5523,-3.5245,3.8076,-1.1258,-2.461,3.5611,-0.07728,0.24516,-0.069415,1.0965,0.57971,-0.090787,-2.4576,-1.9262,0.92995,0.72777,-0.99473,-0.65575,0.36491,-0.22,1.1925,0.83844,1.6991,1.7068,-0.74118,-1.3224,0.54351,2.5342,0.51465,1.0217,-1.1381,-1.0129,-0.29581,0.3391,1.4207,-2.09E-14,30 h,R4
R4_30-2,23.421,-2.9824,-14.73,-0.98834,-2.4671,-3.9229,3.0868,0.15647,-0.91647,-1.5978,0.36448,-2.7588,4.1448,0.54766,-1.9833,4.3526,0.12111,-0.55159,-0.76186,0.87063,1.8874,0.28394,-1.9494,-1.3448,1.0174,-0.79236,0.18643,0.08577,-1.1467,0.46288,-1.656,0.19384,-1.0724,-0.60892,0.41949,1.2444,0.46259,-3.2361,-0.33501,-1.381,0.84344,0.49925,-0.085106,-0.58795,-1.4534,-2.26E-14,30 h,R4
R1_35-1,19,4.9311,4.534,13.187,7.312,5.1738,2.8802,9.5594,1.9459,1.5628,1.6073,-0.43532,-0.039828,6.0638,0.32585,-1.5162,1.3491,0.83529,1.0802,0.93436,-0.6547,0.37258,-0.83095,-0.65273,0.39106,0.24154,-1.3387,-0.4666,0.37321,0.11626,-0.47896,-0.44281,-0.64225,0.1677,-0.33513,-0.70871,-1.7894,-2.0352,0.23248,0.82878,-1.2269,-1.2661,-1.6452,0.88049,0.23053,-1.44E-14,35 h,R1
R1_35-2,18.282,4.5909,3.5026,10.313,1.5545,-5.8538,-1.303,10.162,3.2544,1.078,-0.87852,-0.22546,-1.46,4.4759,3.3315,1.2282,0.2632,2.1496,-1.154,-0.064653,0.58793,0.75743,-0.79809,-1.3654,-0.36787,0.11868,0.887,-0.20333,0.27485,-0.55046,0.44704,0.12644,0.84087,0.24078,0.77994,1.2241,1.8075,2.1614,-0.1596,-0.62479,1.3072,1.2757,1.6546,-0.84639,-0.30183,-1.75E-14,35 h,R1
R2_35-1,29.893,-16.369,3.4297,-5.9423,10.934,9.5881,-9.9696,1.0306,3.5274,4.2705,-0.96409,0.52465,2.481,-1.7437,-1.1964,1.6529,0.30908,-1.0661,1.6935,0.46521,-1.2971,0.92214,0.43408,-0.97288,-0.04446,0.20971,0.70489,-1.0932,0.006132,0.044676,-0.20448,-0.44095,-1.7362,-0.95223,-0.68273,0.013657,1.1839,1.0108,-0.05933,0.24408,0.32155,2.4169,-1.9083,-0.038884,0.45209,-2.01E-14,35 h,R2
R2_35-2,27.365,-16.086,2.9129,-6.8929,7.6301,0.83286,-11.37,3.3642,4.3025,4.326,-3.406,1.9587,0.69228,-1.4065,-0.18503,2.3439,-0.87548,-1.7752,-1.0798,-0.20189,0.78643,-0.42609,-0.5178,1.6517,-1.2291,-0.5268,-0.063213,0.75031,0.73095,0.18302,-0.40742,1.3536,1.3325,0.65686,0.91839,-0.60476,-1.2094,-0.6136,0.27919,-0.25611,-0.51043,-2.5001,1.9256,-0.21314,-0.58329,-2.55E-14,35 h,R2
R3_35-1,41.337,-10.695,14.141,-6.0636,-4.5795,5.2208,2.2739,-0.94951,-6.2047,4.5576,-1.5947,-1.8818,-0.91249,-0.44987,-2.1323,-2.5625,0.43834,3.0986,-2.6659,-0.24005,0.73635,-0.20396,0.6074,0.2505,0.96541,-0.12964,-1.5202,-0.24019,-0.20472,-0.061352,-0.32537,-0.80592,0.99454,2.0457,0.9734,1.0185,0.28773,0.073732,1.5103,1.6676,0.83301,0.14662,-0.9695,-0.96146,-1.4455,-1.35E-14,35 h,R3
R3_35-2,39.545,-10.575,14.154,-6.4824,-4.2479,2.6474,2.5068,-0.86402,-4.407,3.4206,-1.6839,-1.0572,-1.1313,1.2685,-0.84917,-1.7294,0.8578,1.8121,-2.4644,-0.75691,1.2696,-0.089178,-1.2395,-0.56852,1.7616,-0.53006,1.0922,0.38507,-0.42049,-0.10131,1.1794,0.009877,-0.83989,-2.2569,-1.4513,-0.74001,-0.039952,-0.076984,-1.9517,-1.7829,-0.51108,-0.38639,1.2154,1.3255,1.5296,-1.54E-14,35 h,R3
R4_35-1,34.691,-14.552,-20.544,5.3959,-3.4244,11.825,6.9383,3.1324,-0.59097,-1.2732,2.1889,1.4778,-3.13,-3.8286,1.3431,-2.9107,0.37594,-1.9201,2.0618,0.25644,-0.82487,-0.18816,0.069203,-0.541,1.3908,-0.24816,-0.119,0.61906,0.50542,-0.58238,0.86409,0.31707,0.57718,-1.6294,1.5504,-0.22472,-0.1487,0.1935,1.7426,-1.0234,-0.097097,0.44649,1.0963,0.25617,-0.77775,-2.42E-14,35 h,R4
R4_35-2,34.824,-15.038,-19.753,3.5572,-7.9263,-0.67889,1.7434,3.427,1.0215,-1.6383,-2.2144,2.2202,-4.3003,-3.6321,2.9605,0.96796,-0.17813,1.6691,-0.73181,-1.4897,0.85513,-0.45716,1.0648,0.89145,-2.1612,0.3012,0.56152,-0.47402,-0.58748,0.68458,-1.31,-0.67229,-0.81434,1.5466,-1.6763,0.60786,-0.1523,-0.32255,-2.0958,0.92305,0.12647,-0.42857,-1.1048,0.027527,0.80721,-3.50E-14,35 h,R4
QC_1,10.468,-0.91971,-3.0571,5.0277,10.153,4.7891,4.5486,-5.5367,0.62696,-1.2668,-1.174,0.91734,1.213,1.9274,-2.0777,-2.882,0.2438,-1.1707,0.35907,1.1166,-0.90522,0.56498,1.3227,-0.7022,-1.5435,1.2456,-0.53831,0.14318,-2.3056,0.28842,0.36652,0.3469,-0.75902,1.2708,-2.7637,1.5486,0.67832,-0.59446,0.6372,0.47502,0.66082,-0.44815,2.6849,-0.75617,0.59446,-1.54E-14,QC,T1
QC_2,10.806,-1.0603,-2.1412,3.6019,5.3925,-3.6204,0.51525,-5.6236,0.95437,-2.8279,-2.5259,-0.67695,0.21131,-0.073687,0.026239,-0.57438,0.93398,2.5413,0.46895,-0.55121,-1.7484,0.36266,1.1498,-0.15401,-0.2302,0.97249,0.38356,-1.0213,1.463,0.015748,1.9872,1.8719,-1.1617,-0.82057,0.48517,0.88514,1.6761,0.56582,-1.2985,-0.11062,-0.82478,-1.9778,-0.94754,1.1312,-2.607,-1.80E-14,QC,T2
QC_3,10.378,-1.3212,-2.4156,3.1136,6.0927,-3.5181,1.6792,-5.5904,1.4478,-2.3085,-2.4633,0.37444,0.58978,-0.22767,0.21355,-1.2556,0.8729,2.4056,0.89826,-0.27109,-0.2238,0.39115,-0.15827,1.0516,-0.70319,-1.8924,-2.6568,-1.12,1.3109,-3.6379,-2.1925,-1.5986,0.51004,-0.57124,-0.043913,-2.5329,0.69462,-0.099066,-0.32988,-1.2472,0.68871,-0.084672,0.15432,-1.1519,0.38844,-1.44E-14,QC,T3
QC_4,9.8985,-1.6551,-2.3589,2.4308,5.2413,-6.4054,0.46071,-3.4045,1.8165,-2.3933,-4.1574,1.4006,-1.0604,0.70859,0.062313,-1.0817,-0.26457,1.007,-1.0272,0.0069807,-1.2953,-0.045428,-0.78204,0.84707,0.67262,-0.15334,3.0334,0.80308,0.81855,1.5519,0.77727,0.6552,3.4086,0.34472,-2.0684,-0.83814,-0.67446,-1.2827,1.7932,-0.97007,0.47308,1.5305,-1.4665,0.28942,-0.041398,-1.58E-14,QC,T4
QC_5,10.344,-1.9571,-1.9413,2.1346,4.5907,-7.6285,1.1687,-3.9412,1.29,-2.5695,-4.527,1.8502,-0.19741,0.42137,-0.62775,-0.30588,-0.55376,0.33682,0.0049414,-0.81416,0.52864,-0.96006,-0.81406,-0.25612,1.7922,0.99505,0.38146,0.27778,0.7718,1.699,0.015183,-1.8351,-3.7861,1.3949,2.2612,-0.1153,-2.3044,1.4019,1.2084,-0.46586,0.37481,0.21931,0.4628,0.19569,0.64218,-2.05E-14,QC,T5
QC_6,9.1713,-2.456,-2.3682,2.0635,4.9039,-4.8108,2.5216,-3.501,1.8905,-1.4391,-3.959,2.1839,-0.51364,1.4793,-1.4265,-1.2334,-1.8376,-2.3587,-0.67619,0.54409,1.4824,0.39924,0.41788,-0.86303,0.14314,-0.34643,-0.41961,0.66058,-1.7988,-0.55827,-0.022483,-0.60588,2.3756,-2.482,2.3923,1.3519,-0.50856,0.20108,-1.8032,2.4868,-1.0996,0.64812,-0.58079,-0.012549,0.64089,-1.68E-14,QC,T6
