,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
390.882614938836/608.172548766635,11.93328,12.61355,12.78289,12.62669,12.65134,13.18164,12.02791,12.51939,15.2104,14.71663,14.57377,15.05331,14.92925,15.44078,15.31653,15.21536,15.58865,16.15965,15.84171,16.29617,16.98603,16.99964,15.83612,15.7106,16.72296,16.48954,17.0677,16.9371,17.13647,16.78267,16.08463,16.20212,15.83024,16.53629,16.57444,16.98242,16.73883,16.86514,15.12518,16.03969,15.42904,16.19022,16.07538,16.2088,16.17662,15.74665
527.057950739275/592.175834804665,8.497476,8.730363,8.567559,8.192954,8.730095,8.53963,8.0886,8.102107,8.552169,7.66749,8.752804,8.030333,8.898307,8.570002,9.199375,8.67361,11.476141,11.891121,10.510938,10.083516,13.151777,12.745988,12.075912,12.069103,15.301846,14.949625,14.053521,13.819316,15.418564,14.849458,14.548201,14.546227,12.679605,13.065183,15.067703,15.125526,16.522931,16.344882,14.483542,15.286399,13.532367,14.338029,14.182316,14.174552,14.064634,13.598136
524.742445025528/546.166229918135,8.641864,9.041291,8.850729,8.529057,9.265586,9.149679,8.457239,8.775035,7.978294,8.645104,8.275844,8.074867,9.040385,9.240581,8.33788,8.117223,12.632692,11.423434,10.824967,9.613019,12.08239,11.737865,11.423292,11.587792,14.60537,14.301768,13.230183,12.805211,14.706299,14.511704,14.159271,13.893736,13.78998,12.115247,15.761438,14.700202,16.426279,16.110953,15.402695,14.496388,14.753881,13.698041,13.774554,13.221635,13.24142,13.602006
558.666177314624/737.288807011719,11.15161,10.21574,10.91361,10.67354,12.43526,11.82578,11.87094,11.83433,14.68422,14.34484,15.40862,15.16394,15.53932,15.36008,14.52545,14.38466,15.66057,15.56249,15.92523,15.84236,16.18239,16.21741,15.53782,15.44968,15.71831,15.53599,16.3544,16.26901,16.54461,16.4206,15.82883,15.78443,15.73693,15.66014,14.72963,14.60355,16.1194,16.21618,15.72204,15.72736,15.42305,15.44307,15.42618,15.30771,15.34052,15.16345
539.091011984306/750.28345229014,13.63161,13.05753,12.90292,12.72277,15.14239,14.56076,14.24407,13.68845,15.06092,14.83699,15.64117,15.40695,16.35149,16.20555,15.9687,15.91502,15.5802,15.49479,15.51893,15.45843,16.85317,16.89914,15.82935,15.83179,16.32714,16.20745,16.11113,16.04105,16.86303,16.7372,15.65005,15.62428,15.69302,15.63965,14.67489,14.51235,16.32136,16.38715,15.35297,15.33773,15.62539,15.53008,15.58685,15.55856,15.47508,15.30783
669.498318856223/283.188827016477,13.73279,13.42212,12.98788,12.92789,13.86237,13.55571,13.34477,13.07887,16.07276,15.47473,15.87693,15.53871,14.65222,14.01944,16.15549,15.97519,16.37171,15.86212,15.7366,15.63364,14.97867,14.90672,15.6518,15.61198,15.5341,15.52161,15.668,15.42594,15.04567,14.92123,15.25602,14.92401,15.70215,15.51403,15.70964,15.54621,15.26106,15.05663,15.46922,15.37663,15.48029,15.23794,15.16041,15.46234,15.35325,15.09275
968.907877604167/763.512453070239,8.843881,10.784129,8.618784,8.530568,9.11234,9.37916,9.051596,8.934988,10.804487,10.147874,9.885633,10.367506,10.862518,11.340054,11.741209,11.25168,13.544661,13.433291,12.642035,12.803656,14.798724,14.783585,14.234898,14.299626,15.106802,14.993112,14.971828,14.932645,15.154585,14.921325,14.729479,14.688789,15.287709,15.287095,16.489524,16.370274,15.972036,16.123252,15.443213,15.57647,14.611091,14.628609,14.696279,14.66472,14.578927,14.359639
541.29784192537/752.281081789882,13.28261,12.57656,12.42529,12.3653,14.5276,14.06983,13.57571,12.80859,14.50219,14.34111,15.03917,14.8243,15.83239,15.67999,15.44281,15.31313,15.06166,14.9039,14.98251,14.90326,16.30658,16.39745,15.29319,15.26988,15.82323,15.69104,15.64137,15.48733,16.351,16.21665,15.15989,15.11712,15.18016,15.11263,14.12173,13.88501,15.84538,15.87165,14.84357,14.87927,15.12914,14.91667,15.05303,14.92237,14.89624,14.71375
44.1477015980503/381.062647470231,11.16025,11.32553,13.66282,13.33074,11.60678,11.06179,13.6427,13.41336,13.2273,12.64348,13.52574,13.14518,13.86435,13.80065,14.24468,14.0841,14.97222,14.51845,14.13759,13.93674,15.41725,15.21989,15.09884,14.9198,15.48917,15.2979,15.29705,15.07918,15.19235,14.93411,14.92868,14.78439,14.98336,14.75423,15.71481,15.36248,15.68116,15.82669,15.08642,14.93558,14.88347,14.65354,14.59904,14.39873,14.45523,14.33562
365.790144535533/550.070697169693,13.463422,13.457232,10.037951,9.013975,11.923314,12.219377,14.087626,13.968246,16.898692,16.620687,9.217615,9.825081,14.492356,14.524119,13.210913,13.146628,15.911011,16.061591,12.451624,12.457214,12.71139,12.734447,13.95458,13.722138,14.929968,14.688396,10.600823,10.160944,13.473541,12.964488,13.02286,12.994788,16.077966,16.203748,9.853722,9.910703,11.718129,11.823388,12.525951,12.652676,13.848993,13.967794,13.904118,13.828298,13.882391,13.513162
557.557306122362/738.284512461091,9.846477,9.94131,10.260455,9.949509,11.714829,11.404402,11.202431,10.978242,13.929695,13.367882,14.660341,14.257896,14.679028,14.56702,13.691122,13.511039,14.890933,14.685307,15.174813,15.068089,15.423064,15.409982,14.707809,14.593867,14.95629,14.818385,15.617011,15.526866,15.826624,15.705243,15.046725,15.077228,14.997623,14.921324,13.925262,13.701662,15.377549,15.493486,14.980752,14.958092,14.648864,14.638786,14.524497,14.458077,14.438853,14.412907
601.584280984444/716.40901956251,8.641864,9.877789,9.69236,9.34192,10.485484,10.474917,10.495613,10.52926,11.726754,11.850137,13.253846,13.467442,12.983117,12.771374,14.400124,14.287764,14.561472,14.392222,14.305518,14.181752,14.448028,14.50283,16.174413,16.251784,16.020407,15.939172,15.849232,15.705616,15.353229,15.231378,17.066495,17.062992,16.363386,16.340408,16.246587,16.165822,15.746162,15.752695,17.98392,18.174886,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
515.054740504215/692.103659667528,7.571497,7.886027,7.89297,7.809633,8.254367,8.099064,7.667474,7.656708,7.048045,7.317563,6.41271,6.787903,7.632149,8.194867,8.132169,8.706214,11.680644,11.958006,10.046941,10.100688,12.744851,12.420397,11.732302,11.763689,14.731132,14.38872,13.77064,13.482887,14.872796,14.522206,14.229813,14.404279,12.930726,12.679555,14.858591,14.582995,15.480118,15.25184,14.23829,14.424467,13.783017,13.800652,13.987861,13.583407,14.07875,13.644304
599.140386213336/718.417799911378,7.451207,7.818914,8.279986,8.118954,8.161259,8.13301,7.69172,8.079388,8.521523,9.150065,9.723105,9.918162,9.395121,9.666503,10.460959,10.770412,10.901152,10.781329,10.504906,10.743201,10.47787,10.350329,12.447848,12.488806,12.30416,12.188729,12.043608,12.000045,11.499196,11.554476,13.717131,13.578132,12.849596,12.742384,12.638579,12.549893,12.076715,11.897428,14.746487,14.904291,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
667.36033228824/299.183248236955,11.79798,11.46451,11.6471,11.36573,13.80044,12.91519,12.74162,12.34202,13.55428,12.99322,14.46684,13.95717,13.56398,13.24774,14.93387,14.43044,15.21241,14.78421,13.94798,13.48603,14.00952,13.64776,14.79968,14.6409,15.04382,14.63963,14.15102,13.87142,13.87191,13.33913,14.3255,14.07958,14.24457,13.71419,14.44939,13.89689,14.1795,14.10992,14.68991,14.39414,14.13111,13.94452,13.87732,13.62173,13.56096,13.45865
669.863786663925/597.365685062073,7.810276,8.259478,7.716097,8.286061,9.757639,10.03765,8.566173,7.951505,10.647748,9.988416,11.688819,11.737365,10.255524,10.306521,13.629251,13.346976,14.4853,14.202077,11.836486,11.321571,12.373304,12.153445,14.054904,13.99588,15.274719,15.02904,12.570345,12.809013,12.368255,11.86054,13.518377,13.284111,13.105751,12.674658,13.711668,13.344331,13.648743,13.465626,14.626019,14.460754,12.190416,12.041205,11.904261,11.811784,11.787892,11.615645
662.731755842242/291.158078037932,14.11144,13.54738,12.84249,12.46534,13.95497,13.42015,13.78624,13.13553,14.5451,14.01129,14.38467,13.93021,13.68728,13.27808,15.0519,14.69674,14.81568,14.43131,14.37515,13.99578,13.81683,13.6924,14.17991,14.25618,14.16033,13.84786,14.54205,14.35259,14.48187,13.97053,14.21062,14.0797,14.57945,14.27292,14.8993,14.45653,14.78902,14.88529,14.48777,14.18005,14.25971,14.25521,13.9934,13.93128,13.90297,13.69559
44.9006668893914/383.060084250504,10.097538,8.908697,10.684656,10.210864,11.115443,10.594889,11.138589,10.476804,12.379801,11.970605,12.6911,12.40148,12.406353,12.173674,13.532213,13.474022,14.262497,13.715391,13.414688,13.0883,14.730346,14.475934,14.370079,14.249358,14.835799,14.594192,14.541981,14.458079,14.531808,14.220488,14.21619,14.029461,14.31683,13.996566,15.068577,14.641697,15.054305,15.175099,14.486689,14.209481,14.214269,13.980118,13.871355,13.72603,13.697455,13.534439
356.228830973307/594.154844733475,10.62742,10.84351,10.78145,10.83065,11.09818,11.55345,10.37352,10.71267,13.56709,13.00049,13.01114,13.505,12.71431,13.14845,13.45473,12.99561,14.27008,14.81239,14.05237,14.54313,15.09222,14.87398,14.00313,13.80377,15.23346,14.87823,15.51725,15.39492,15.3237,14.71552,14.27316,14.27121,14.46148,15.06495,15.08649,15.27169,15.13413,15.22478,13.51732,14.15309,13.76694,14.38672,14.25813,14.25227,14.24675,13.89675
1023.9098532158/789.530253987113,8.302662,9.636032,8.301047,8.745488,9.208555,9.198589,8.808626,8.078901,10.684726,10.637181,10.208921,10.159217,11.350083,11.463264,11.594686,11.555696,12.887115,12.8056,12.474181,12.41352,14.438172,14.444044,13.496116,13.441059,14.386196,14.25475,14.232068,14.159772,14.231024,14.033826,13.243905,13.252905,14.105827,14.022016,15.483031,15.488469,15.001628,15.113542,14.251385,14.404284,13.135994,13.02553,12.915036,12.951852,12.839421,12.930123
394.314895897581/562.167082894572,13.08991,12.13639,12.17168,12.1597,13.88677,12.33384,13.08544,11.73454,14.5739,14.21783,15.76327,14.7075,16.00662,15.11163,14.48275,14.34869,16.4948,15.61506,16.08983,15.37526,16.24063,16.16637,15.15365,15.21214,15.90419,15.81632,16.29679,16.23322,16.32721,16.42972,15.67544,15.51523,16.66729,15.6993,17.17727,16.48226,16.54618,16.52169,15.9848,15.21042,16.3317,15.4583,15.61572,15.30186,15.23873,15.399
353.999024508292/548.152987772921,11.96527,10.31979,10.51482,10.42386,11.98755,10.98634,11.46429,10.38287,12.71141,12.50022,14.14599,12.9391,13.60683,12.54569,12.53601,12.28022,15.25106,14.13493,14.3524,13.34289,14.26691,13.79754,13.11576,13.18567,14.39975,14.24986,14.58387,14.48434,14.3499,14.28818,13.7608,13.5081,15.25707,14.0826,15.64599,14.70921,14.87677,14.76803,14.36638,13.39776,14.66532,13.60598,13.68117,13.27344,13.31526,13.49553
356.871902198122/548.153181335772,11.96527,10.31979,10.51482,10.42386,11.98755,10.98634,11.46429,10.38287,12.71141,12.50022,14.14599,12.9391,13.60683,12.54569,12.53601,12.28022,15.25106,14.13493,14.3524,13.34289,14.26691,13.79754,13.11576,13.18567,14.39975,14.24986,14.58387,14.48434,14.3499,14.28818,13.7608,13.5081,15.25707,14.0826,15.64599,14.70921,14.87677,14.76803,14.36638,13.39776,14.66532,13.60598,13.68117,13.27344,13.31526,13.49553
969.288242273163/829.482837082825,8.419474,9.548158,7.947416,7.97608,8.483183,8.772827,8.595396,8.009,9.661801,9.355476,9.37762,9.734772,9.87313,10.544871,10.726953,10.582142,12.413778,12.319125,11.692093,11.818173,13.771654,13.769323,13.18156,13.1687,14.03992,13.883962,13.89626,13.882061,14.004462,13.841703,13.596754,13.60465,14.196924,14.283333,15.248225,15.112908,14.746514,14.826209,14.32164,14.343568,13.496533,13.541208,13.590558,13.564651,13.475729,13.33844
500.834769265694/532.138431177123,11.119498,10.867968,10.78497,10.475959,11.520628,11.286195,10.780111,10.013989,9.845878,9.876339,9.833493,9.986515,10.144056,9.668763,9.676826,9.305004,11.43474,10.368772,9.249651,9.078858,10.062779,10.239583,10.013835,9.740285,13.250755,13.288468,11.383612,11.45827,12.659758,13.025014,12.408082,12.01112,12.502866,11.769199,14.148479,13.7151,14.758829,14.902857,14.297987,13.514486,13.119875,11.897023,12.122391,11.988276,12.11696,12.179989
561.570035164816/528.210370962477,10.864251,8.96574,9.123253,8.661097,11.397698,10.123607,10.369707,9.536724,11.633555,10.404751,11.591056,10.584338,12.36593,11.335844,11.348869,11.036586,13.08757,11.729187,12.216069,11.170451,12.11426,11.083866,11.926878,12.08706,12.006085,11.452449,12.148912,11.971753,12.641529,12.279156,12.986507,12.784738,13.914535,12.041216,13.84271,12.111413,12.819803,12.79469,14.241452,12.657332,13.149175,12.107405,12.123214,11.56197,11.134008,11.502742
478.359417296292/578.166553440593,8.513289,8.555867,8.53237,8.935438,9.100528,9.064288,8.403928,8.494419,8.49,8.563968,8.578111,8.482117,8.90441,8.169128,8.12421,8.188189,10.181576,10.793601,8.580198,9.923122,10.94853,11.342689,10.755111,9.941431,14.162277,14.028354,12.225054,12.325665,13.569903,13.381315,12.723282,13.012697,11.478604,12.2909,13.450617,14.155099,14.916533,15.219161,13.333275,14.228212,11.997743,12.649532,12.52807,12.892325,12.973955,12.526924
595.53171900699/718.417313235971,7.451207,7.818914,8.279986,8.118954,8.161259,8.13301,7.69172,8.079388,8.521523,9.150065,9.723105,9.918162,9.395121,9.666503,10.460959,10.770412,10.901152,10.781329,10.504906,10.743201,10.47787,10.350329,12.447848,12.488806,12.30416,12.188729,12.043608,12.000045,11.499196,11.554476,13.717131,13.578132,12.849596,12.742384,12.638579,12.549893,12.076715,11.897428,14.746487,14.904291,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
973.355987013432/861.424590302078,8.231404,9.055937,7.963831,7.986507,9.003586,8.291705,7.994275,8.102107,8.866966,8.714178,8.365785,8.504257,8.953563,9.756707,9.767928,9.953765,11.211636,11.258591,10.489086,10.776576,12.620753,12.715702,12.258095,12.062526,13.200315,13.253967,12.798414,12.850723,13.040283,12.960673,12.680017,12.638658,13.358298,13.405526,15.208277,15.142807,14.625017,14.77961,13.982054,14.038469,12.528195,12.506588,12.48184,12.721161,12.665475,12.375226
974.67014888295/1524.00674552547,8.642374,8.357324,8.279986,8.327433,9.074538,8.706738,8.194209,8.291929,7.202757,8.104543,6.96657,7.268489,7.047219,7.435936,7.20405,7.502127,7.811452,7.379689,6.809213,7.757405,10.139885,10.616444,8.820332,9.45744,12.339173,12.171593,10.558226,10.796411,11.329488,11.327296,10.778777,10.632567,12.319318,12.442257,15.20354,15.24246,14.828514,14.967966,13.738349,14.056558,9.840896,9.736827,9.964597,9.725127,9.915389,9.483832
386.142757482696/609.175408763239,9.995175,10.848642,11.061496,10.428903,10.463519,11.243172,10.655171,11.068783,12.834873,12.668852,12.03563,12.861847,12.679825,13.208585,13.169789,12.971304,13.438155,14.126473,13.785866,14.16532,15.003257,15.008743,13.730449,13.456576,14.734254,14.486353,15.166462,14.973649,15.171239,14.761046,14.071471,14.149252,13.788919,14.510261,14.60601,15.020567,14.836433,14.926624,13.160195,14.121645,13.14738,14.107173,13.912795,13.966705,14.137357,13.687888
394.965212637918/563.173236797478,11.38653,10.14768,10.21488,10.01672,11.85942,10.45455,10.98938,10.07937,12.145,12.04533,13.39819,12.4384,13.73556,12.77427,12.21462,12.11611,14.50646,13.3616,14.00115,13.048,14.09785,13.89944,12.81187,12.87461,13.80905,13.68031,14.17489,13.99498,14.23621,14.3866,13.4916,13.38199,14.63828,13.54176,15.16898,14.47485,14.58012,14.47883,14.03679,13.07496,14.25489,13.25204,13.36889,13.02504,12.98313,13.39278
539.418886954324/751.285245342011,11.79998,11.4406,11.55446,11.36133,13.183,12.74844,12.36811,12.06043,13.12828,13.02519,13.77776,13.51373,14.59162,14.31447,14.18933,14.07272,13.85412,13.64009,13.76184,13.68064,15.29223,15.24208,14.09846,14.08869,14.72016,14.5018,14.44843,14.25483,15.23216,15.14176,13.97287,13.88162,14.06572,13.87675,12.90851,12.56516,14.80227,14.76605,13.77126,13.70007,13.92003,13.75971,13.84642,13.69755,13.73891,13.46586
598.917404442503/716.410379679524,8.641864,9.877789,9.69236,9.34192,10.485484,10.474917,10.495613,10.52926,11.726754,11.850137,13.253846,13.467442,12.983117,12.771374,14.400124,14.287764,14.561472,14.392222,14.305518,14.181752,14.448028,14.50283,16.174413,16.251784,16.020407,15.939172,15.849232,15.705616,15.353229,15.231378,17.066495,17.062992,16.363386,16.340408,16.246587,16.165822,15.746162,15.752695,17.98392,18.174886,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
911.890490080181/733.47627571687,7.628078,8.748511,7.716097,8.067425,7.89823,8.099064,7.447036,7.883472,8.040145,8.903911,7.816373,7.665361,8.531505,8.93125,9.167725,9.702174,10.553607,10.396738,9.468087,9.945706,11.40153,11.974253,11.071863,10.825334,12.453744,12.712973,11.753987,11.820571,12.922298,12.898467,12.038867,12.053574,13.008895,13.280188,14.823381,14.953019,14.734697,14.938473,13.888815,14.222205,12.331585,12.310745,12.338867,12.775707,12.781631,12.512133
393.664844178317/563.173691566104,11.38653,10.14768,10.21488,10.01672,11.85942,10.45455,10.98938,10.07937,12.145,12.04533,13.39819,12.4384,13.73556,12.77427,12.21462,12.11611,14.50646,13.3616,14.00115,13.048,14.09785,13.89944,12.81187,12.87461,13.80905,13.68031,14.17489,13.99498,14.23621,14.3866,13.4916,13.38199,14.63828,13.54176,15.16898,14.47485,14.58012,14.47883,14.03679,13.07496,14.25489,13.25204,13.36889,13.02504,12.98313,13.39278
527.73246042352/700.323869798174,7.972023,8.12703,8.808678,8.944267,9.770268,9.604513,8.934213,9.414379,10.202711,9.874638,11.068298,11.094973,12.074906,11.842697,10.147421,9.963918,11.722914,11.666519,13.074957,12.926735,12.595991,12.610403,12.015398,11.86304,11.461619,11.416696,13.003523,13.047331,13.36851,13.231689,13.86589,13.684024,13.102973,13.055613,12.878662,12.622018,12.725992,12.851683,14.030556,13.991319,12.353113,12.429479,12.349093,12.377649,12.232827,12.189349
556.768651058799/880.216434269714,7.972023,8.041302,8.724405,9.067414,9.967096,9.124966,9.010453,9.830016,11.457418,11.697391,12.22598,12.359953,12.582427,12.646362,11.47481,11.756337,13.190793,13.156369,13.560827,13.472926,14.28275,14.462219,13.07325,13.072927,13.920227,13.84761,14.470962,14.482461,14.821329,14.914468,13.825496,13.909212,13.738758,13.713441,12.284581,12.158704,14.553775,14.698529,13.977801,13.948621,12.76164,12.911066,12.755551,12.80821,12.987194,12.824565
533.536985163103/593.167197631858,11.751358,10.178664,10.258602,9.707934,12.118063,10.302967,11.067294,10.181905,10.068872,8.966542,10.468604,9.438233,10.27598,9.307474,8.973509,8.690004,9.783894,9.669241,9.315876,8.589713,10.885348,10.891748,9.607781,9.581778,13.212908,12.692781,11.726759,11.413505,13.307189,12.589009,12.3726,12.392424,10.478814,10.949536,13.062283,12.922497,14.648901,14.444174,12.471023,13.18281,11.375114,12.100879,11.776247,11.690682,11.977162,11.508855
366.760772169682/504.065838600891,12.149398,10.72233,8.635462,8.330455,11.036337,9.825675,12.989548,11.304161,14.412441,14.121432,8.910154,8.181746,13.12025,11.79396,10.698423,10.868051,14.836719,13.60383,10.477731,9.48761,9.795019,9.918137,11.161772,11.035271,12.203588,11.972499,7.893636,7.824443,10.537663,10.5403,10.404372,10.382552,14.915905,13.682277,8.245949,7.717573,9.278325,9.652159,11.356471,9.794793,12.400543,11.552849,11.402734,11.11048,11.143484,11.341504
521.188016121848/609.168663620612,8.216793,8.448953,7.973888,7.986507,8.061725,8.772827,7.914106,8.251852,7.199792,7.317563,6.96657,7.116495,7.134675,7.897054,7.660093,8.024734,10.463748,10.065745,8.391522,8.297,11.135108,10.801342,9.931937,10.215477,13.240924,12.991746,12.057628,11.828169,13.431314,12.993479,12.681163,12.670623,11.565825,11.263374,13.778106,13.242536,14.54035,14.155927,13.2756,13.038978,12.58212,12.238235,12.41162,12.146169,12.243318,12.052452
562.959331311678/574.216395839222,10.870941,10.730358,9.742634,10.105207,11.298699,10.819246,10.527542,10.314706,12.402345,11.207899,11.318934,11.365389,11.962967,11.836348,12.572853,12.005299,12.530833,13.081809,12.764739,12.16794,13.497396,12.718176,13.161452,13.051759,13.342849,12.672435,13.454992,13.389003,14.056175,13.129446,14.03012,14.040022,13.539566,13.511579,13.64251,13.28252,13.52972,13.817543,13.830965,14.158315,12.719458,13.256267,13.218334,12.530935,12.807881,12.414642
525.574462355229/547.17245099532,8.370565,8.555867,8.07923,8.435807,8.617985,8.4881,8.26055,7.960091,7.227003,7.645123,7.250342,7.268489,7.184713,7.578534,7.006126,7.029807,10.519486,9.61153,8.112132,7.818804,9.843125,9.733006,9.204489,9.083812,12.367392,12.042006,10.917234,10.674181,12.43478,12.354504,11.869678,11.54483,11.396103,10.006794,13.754964,12.484206,14.46971,14.030138,13.408446,12.135488,12.403302,11.41448,11.205257,10.602389,11.192027,11.171285
560.611325983416/254.150248182392,14.69269,13.55389,13.74978,12.76572,13.97119,12.89659,15.12654,14.11275,13.85726,13.27818,14.00589,13.65147,12.52729,12.05879,13.7202,13.38472,14.7629,14.1333,13.294,12.5516,12.5518,12.2463,13.6045,13.53866,14.01997,13.37362,13.47843,13.31034,12.84229,11.95393,13.4559,13.19369,13.89857,13.39182,13.60222,12.85191,13.01114,13.05055,13.75012,12.93494,13.32295,13.27655,12.96029,12.62913,12.72848,12.38754
351.921778628701/594.155521474335,10.62742,10.84351,10.78145,10.83065,11.09818,11.55345,10.37352,10.71267,13.56709,13.00049,13.01114,13.505,12.71431,13.14845,13.45473,12.99561,14.27008,14.81239,14.05237,14.54313,15.09222,14.87398,14.00313,13.80377,15.23346,14.87823,15.51725,15.39492,15.3237,14.71552,14.27316,14.27121,14.46148,15.06495,15.08649,15.27169,15.13413,15.22478,13.51732,14.15309,13.76694,14.38672,14.25813,14.25227,14.24675,13.89675
