Sample,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
390.882614938836/608.172548766635,1028.02832,1165.69043,1541.772461,1296.709961,1348.349609,1423.180664,1211.94043,1367.47168,15184.74219,8608.390625,13454.42969,13232.125,18872.76563,19778.8125,21587.82813,16304.30469,64876.78125,54710.96875,48179.90625,42769.0625,120429.4375,92236.5625,49960.5625,42395.5625,164290.25,106351.8125,126508,100753.5,159589.375,95577.25,94376.0625,75608.75,90057.8125,93195.6875,150444.25,119635.75,215417.625,174261.125,112853.9375,101981.25,44116.875,62298.6875,48492.90625,47218.25,43462,33451.15625
527.057950739275/592.175834804665,95,79,83,60,89,57,79,64,150.3410645,65,238,101.741394,288.628418,169,311,175,3750.59375,2838.689453,1197.132813,576.6777344,8443.1875,4835.320313,3687.160156,3397.195313,61349.71875,36575.03125,15658.84375,11606.83594,48513.375,25026.53125,32535.03125,23993.85938,10141.10156,8404.0625,52942.15625,33027.84375,185476.75,121502.9375,72337.625,60500.4375,11848.09375,17254.92188,13055.99219,11527.60156,10053.97656,7544.75
524.742445025528/546.166229918135,105,98,101,75.74078369,129,87,102,102.0360718,101,128,171,104.9310303,318.4997559,269,171.1679688,119,8360.96875,2052.722656,1488.245117,416.1975098,4023.361328,2404.085938,2345.490234,2433.5,37857.53125,23343.20313,8849.328125,5746.957031,29610.67188,19802.79688,24846.875,15264.42969,21894.8125,4350.410156,85632.125,24594.89063,173458,103315.9375,136790.75,34989.8125,27628.71875,11072.80469,9841.5,5955.007813,5682.324219,7565.019531
558.666177314624/737.288807011719,598,221.1936035,422,334.8774414,1160.800781,556.0390625,1087,850.5410156,10544.14063,6652.765625,23998.14063,14286.69531,28806.15625,18702.76563,12475.85156,9167.203125,68192.625,36166.84375,51051.28125,31226.15625,68993.9375,53632.4375,40628.5,35381.53125,81880.625,54916.0625,77160,63408.1875,105885.1875,74363.9375,79042.125,56602.40625,84417.3125,50774.875,41882.53125,23001.14063,140221.5,111132.8125,170683.25,82130.0625,43934.125,37116.09375,30920.71875,25284.48438,24345.5,22328.07813
539.091011984306/750.28345229014,3336.220703,1585.751953,1675.540039,1386.007813,7580.261719,3701.835938,5631.363281,3074.96875,13690.1875,9357.390625,28195.8125,16907.6875,50579.1875,33606,33925.84375,26480.20313,64497.96875,34508.875,38520.96875,23930.07813,109834.25,86029.875,49726.65625,46110.875,124869.4375,87463.8125,65187.09375,54140.375,132035,92611.9375,69829.6875,50655.4375,81886.4375,50058.71875,40323.15625,21592.14063,161291.5,125115.125,132156.25,62691.8125,50548.65625,39423.53125,34563.53125,30086.23438,26725.39063,24678.25
669.498318856223/283.188827016477,3578.585938,2041.6875,1777.177734,1597.760742,3121.470703,1844.458008,3019.228516,2015.292969,27605.95313,14559.04688,33201.15625,18524.57813,15575.42188,7384.71875,38615.5,27608,111638.1875,44515.25,44794.21875,27020.21875,29954.125,21620.71875,43968.375,39594.3125,72065.8125,54371.1875,47947.5625,35347.28125,37463.65625,26303.07813,53140.65625,31176.23438,82406.625,45884.5625,82612.0625,44209.78125,77344.125,49748.9375,143246.375,64405.21875,45712.28125,32196.76563,25718.40625,28144.95313,24561.28125,21260.3125
968.907877604167/763.512453070239,120.7821655,328,86,75.82012939,116,102,154,114,716.2998047,362.7358398,521.9077148,514.1162109,1126.228516,1152.80957,1811.045898,1045,15732.10156,8267.179688,5244.046875,3799.945313,26441.5625,19851.9375,16466.89063,15943.17188,53591.8125,37694.3125,29593.57813,25110.73438,40401.34375,26304.78125,36891.09375,26485.9375,61830.46875,39205.90625,141844.5,78268.4375,126605.8125,104200.4375,140687,73973.9375,25025.14063,21105.04688,18643.53125,16191.75781,14360.03906,12790.28125
541.29784192537/752.281081789882,2619.355469,1136.18457,1203.297852,1081.825195,4950.117188,2634.097656,3543.351563,1671,9294.25,6635.585938,18576.40625,11289.875,35294.625,23345.75,23562.5625,17447.5,45024.625,22911.5625,26559.48438,16286.22656,75196.375,60760.9375,34291.65625,31235.70313,88057,61146.8125,47070.59375,36883.84375,92587.4375,64560.46875,49715.1875,35641.59375,57388.90625,34740.125,27481.26563,13978.10938,115964.5625,87524.8125,92841.5625,45624.71875,35836.46875,25769.28125,23873.75,19357.70313,17892.75,16348.55469
44.1477015980503/381.062647470231,601.5883789,477.3662109,2837.3125,2112.4375,653.6704102,327.4338379,3711.773438,2541.158203,3840.902344,2045.698242,6506.921875,3525.537109,9021.289063,6345.554688,10269.51563,7443.203125,42317.96875,17539.76563,14786.78125,8334.320313,40595.9375,26862.29688,29969.8125,24505.65625,69855.875,46561.46875,37076.5625,27795.25,41472.90625,26538.89063,42353.375,28300.45313,50070.8125,27098.39063,82908.625,38923.28125,103488.625,84838.75,109862.125,47440.75,30225.29688,21472.95313,17428.32813,13465.53125,13180.08594,12579.10156
365.790144535533/550.070697169693,2969.099609,2091.982422,229.9916992,106,814.0410156,730.4511719,5052.632813,3733.083984,48936.5625,32218.21875,328.4731445,353,13941.74219,10477.47656,5015.964844,3886.445313,81120.1875,51115.71875,4595.652344,2988.738281,6222.097656,4796.792969,13558.99219,10683.99219,47409.5625,30517.375,1430.19043,919.2504883,12599.4375,6775.917969,11302.58594,8185.972656,106928.5625,74010.1875,1426.383789,889.3276367,6635.902344,5290.3125,18623.90625,9748.304688,14755.78125,13349.38281,10766.23438,9067.882813,8860.890625,7113.203125
557.557306122362/738.284512461091,242,182.8773193,268.3444824,202.7357178,704.5083008,415.2019043,683.8920898,469.8798828,6249.945313,3379.945313,14286.45313,7624.046875,15867.58594,10793.71875,6997,5003.238281,39999.53125,19690.28125,30346.51563,18257.42188,40759.8125,30645.54688,22854.51563,19550.15625,48282.5,33394.71875,46282.53125,37908.59375,64372.40625,45291.59375,45964.4375,34669.46875,50568.28125,30425.90625,23982.39063,12309.89844,83848.5,67342.75,102103.1875,48186.84375,25689.01563,21254.45313,16550.70313,14030.99219,13031.34375,13271.35938
601.584280984444/716.40901956251,105,175,181,133.053833,300.4804688,218,419,344.2148438,1357.453125,1180.382813,5389.234375,4407.933594,4897.683594,3109.050781,11437.80469,8571.734375,31832.98438,16070.3125,16612.10938,9877.007813,20735.625,16341.32031,63163.15625,61692.59375,100953.375,72622,54365.40625,42908.84375,46365.34375,32611.4375,186394.625,137316.25,130320.8125,81363.625,119861.9375,67926.6875,108257.6875,80597.3125,818621.5,448002,70697.8125,58262.4375,49649.3125,43806.875,38436.46875,36267.9375
515.054740504215/692.103659667528,50,44,52,46,64,42,59,47,53,51,47,43,120,130.3041992,148.4213867,179,4321.769531,2973.392578,867.890625,583.5830078,6368.09375,3858.447266,2905.728516,2749.044922,41305.75,24793.375,12870.75,9192.609375,33232.9375,19947.48438,26091.96875,21745.5,12069.24219,6432.855469,45798.65625,22675.76563,90026.75,56957.15625,61028.96875,33288.28125,14096.17969,11889.03125,11409.66406,7652.203125,10152.83594,7790.097656
599.140386213336/718.417799911378,46,42,68,57,60,43,60,63,147.1811523,181.6431885,466.3024902,376.526123,407.2824707,361.3833008,745.6513672,748.5834961,2517.740234,1315.337891,1192.137695,911,1323.0625,918.8818359,4771.511719,4544.265625,7681.023438,5396.003906,3887.904297,3288.960938,3206.373047,2549.835938,18288.34375,12265.19531,11409.25781,6719.195313,9830.203125,5540.351563,8508.34375,5568.902344,86799.8125,46422.9375,5202.164063,4374.0625,3444.015625,3125.378906,2664.353516,2635.845703
667.36033228824/299.183248236955,936,525.640625,701.640625,541.0717773,2990.310547,1183.186523,1987.605469,1209.272461,4817.976563,2606.910156,12493.19531,6189.519531,7325.691406,4325.433594,16558.26563,9462.75,49983.6875,21087.46875,12965.67969,6098.0625,15300.76563,9034.117188,24357.1875,20198.03125,51302.5,29503,16753.6875,12033.70313,16606.29688,8785.070313,27881.14063,17362.96875,30004.46875,13178.32813,34488.15625,14093.63281,36546.59375,25810.54688,83461.75,32595.82813,17942.71875,13135.73438,10568.07813,7858.175781,7091.179688,6849.4375
669.863786663925/597.365685062073,59,57,46,64,181.4316406,161,110,57.65582275,642.5571289,324.779541,1821.408203,1328.708984,739.4404297,563.1616211,6703.273438,4465.429688,30195.84375,14085.91406,3000.351563,1360.270508,4922.242188,3206.652344,14535.42969,12916.30469,60206.9375,38644.8125,5601.175781,5762.121094,5856.347656,3152.439453,15934.6875,10003.80469,13625.98438,6411.054688,20682.09375,9609.195313,25297.21875,16513.70313,79846.1875,34136.15625,4673.914063,3511.560547,2691.826172,2241.169922,2074.771484,1909.21875
662.731755842242/291.158078037932,4652.625,2226.873047,1606.807617,1159.504883,3328.392578,1679.038086,4100.082031,2096.019531,9574.851563,5279.515625,11801.55469,6074.960938,7979.289063,4417.347656,17970,11381.07031,37966.65625,16511.71875,17433.51563,8682.476563,13387.75781,9318.046875,15851.07031,15470.26563,27808.79688,17042.04688,21969.60938,16797.48438,25344.82813,13608.71094,25747.10938,17364.51563,37843.875,19411.25,47109.28125,20772.60938,55761,44177.96875,72549.75,28100.48438,19615.54688,16292.23438,11453.54688,9738.851563,8988.210938,8071.980469
44.9006668893914/383.060084250504,288,89.39459229,360.0725098,243,465,236.9035645,654.2885742,331.9240723,2134.576172,1283.179688,3648.580078,2105.466797,3283.730469,2054.480469,6267.226563,4876.496094,25874.78125,10052.59375,8958.976563,4628.75,25217.5625,16039.5,18084.4375,15397.23438,44413.84375,28588.32813,21968.51563,18071.76563,26237.42188,16183.10156,25846.75,16770.1875,31545.60938,16027.41406,52974.21875,23617.45313,67017.625,54006.625,72495.625,28679.65625,19007.34375,13463.90625,10524.49219,8447.34375,7794.820313,7218.886719
356.228830973307/594.154844733475,415.8171387,341.7822266,385.0593262,373.4064941,459.4682617,460.3928223,385,390.8786621,4860.941406,2620.078125,4554.769531,4524.1875,4065.097656,4037.755859,5939.492188,3500.185547,26011.125,21503.375,13938.59375,12688.5,32406.92188,21135.53125,14023.03906,11305.92188,58509.5625,34809.03125,43190.25,34595.40625,45425.84375,22807.70313,26887.92188,19829.5625,34872.5,33610.78125,53636,36549.25,70830.0625,55898.6875,37025.6875,27580.21875,13939.94531,17847.26563,13760.42969,12165.64063,11406.67969,9279.742188
1023.9098532158/789.530253987113,83,148,69,88,124,90,130.1304932,62.97872925,659.2392578,509.197998,653,445,1579.05957,1255.588867,1636.144531,1290.132813,9973.453125,5350.613281,4668.070313,2899.576172,20594.4375,15688.84375,9867.703125,8792.664063,32521.78125,22594.70313,17721.79688,14696.07031,21299.82813,14219.0625,13174.04688,9789.742188,27253.40625,16312.66406,70603.75,42475.34375,64614.75,51750.71875,61585.4375,32825.8125,9001.773438,6947.226563,5424.011719,4939.347656,4300.433594,4748.460938
394.314895897581/562.167082894572,2291.851563,837.4248047,1009.321289,938.1333008,3174.726563,790.7685547,2522.494141,793.6972656,9767.914063,6092.121094,30685.90625,10411.85938,39825.09375,15743.96094,12111.98438,8941.507813,121581.4375,37509.03125,57221,22589.59375,71836.4375,51768.25,31130.35938,30010.14063,93139.875,66693.9375,74139.75,61854.4375,91073.5625,74835.5,71069.8125,46967.5625,160878.5,52172.1875,228478.625,84585.8125,188490.5,137344.875,204779.625,57396.5,82477,37510.125,35262.15625,25182.1875,22686.98438,26288.14063
353.999024508292/548.152987772921,1051.080078,237.7357178,320.0849609,281.6594238,851.1069336,310.748291,820,311,2686.189453,1852.320313,10002.09375,3056.236328,7546.519531,2658.833984,3141.863281,2131.763672,51341.125,13445.32031,17160.84375,5522.097656,18289.1875,10022.45313,7580.855469,7366.140625,32828.8125,22518.1875,22615.78125,18403.75,23129.3125,16960.51563,18850.34375,11684.00781,60531.3125,17012.3125,79046.6875,24748.90625,59257.71875,40729.1875,66695.3125,16338.85156,25983.79688,10388.32813,9224.648438,6172.726563,5980.714844,7026.773438
356.871902198122/548.153181335772,1051.080078,237.7357178,320.0849609,281.6594238,851.1069336,310.748291,820,311,2686.189453,1852.320313,10002.09375,3056.236328,7546.519531,2658.833984,3141.863281,2131.763672,51341.125,13445.32031,17160.84375,5522.097656,18289.1875,10022.45313,7580.855469,7366.140625,32828.8125,22518.1875,22615.78125,18403.75,23129.3125,16960.51563,18850.34375,11684.00781,60531.3125,17012.3125,79046.6875,24748.90625,59257.71875,40729.1875,66695.3125,16338.85156,25983.79688,10388.32813,9224.648438,6172.726563,5980.714844,7026.773438
969.288242273163/829.482837082825,90,139.2543945,54,51.6255188,75,67,112.2508545,60,324.4230957,209.4375,367,331.5805664,567.2714844,664.3295898,896.6191406,657,7183.84375,3819.091797,2714.597656,1919.1875,12975.02344,9828.328125,7934.601563,7280.015625,25582.03125,17473.84375,14041.6875,12122.77344,18204.3125,12446.17969,16824.3125,12492.72656,29029.78125,19551.90625,59999.03125,32740.23438,54142.0625,42405.34375,64658.6875,31473,11557.42969,9932.210938,8663.09375,7553.363281,6684.363281,6301.859375
500.834769265694/532.138431177123,584.8349609,347.6257324,386,292.0168457,615.7802734,382.5388184,510.3364258,240.8337402,368.5739746,300.5039063,503.3823242,394.7946777,684.4599609,361.949707,433,271.0864258,3644.492188,988.2006836,499.4089355,287.4089355,992.2592773,850.9848633,882.9672852,676.2011719,14803.78125,11564.5,2460.576172,2259.269531,7167.671875,7066.238281,7380.933594,4139.585938,8971.835938,3422.625,27995.46875,12425.09375,54606.1875,44719.1875,63607.25,17715.75,8901.757813,3177.583984,3131.199219,2532.818359,2606.332031,2823.189453
561.570035164816/528.210370962477,490,93,122,83,565.4838867,170.8840332,383.9836426,173,1272.533203,433.4291992,1702.070313,597.4946289,3193,1149.450195,1379.823242,900.2573242,11460.10156,2537.294922,3903.355469,1224.993164,4113.226563,1527.834961,3325.279297,3439.744141,6247.261719,3239.142578,4182.300781,3225.091797,7077.675781,4213.691406,11021.34375,7076.832031,23869.09375,4132.800781,22648.64063,4088.291016,14240.88281,10372.24219,61162.875,9779.8125,9084.398438,3676.447266,3132.984375,1884.834961,1318.65625,1765.50293
478.359417296292/578.166553440593,96.04699707,70,81,100.3837891,115.0541382,82,98.29956055,84,144,121,210.8572998,139.1555176,289.8520508,128,147.6047363,125,1528.962891,1326.574219,314,516,1833.423828,1828.058594,1476.016602,777.3686523,27846.34375,19313.21875,4408.960938,4121.734375,13469.73438,9045.773438,9183.242188,8288.226563,4411.109375,4913.679688,17258.78125,16855.92188,60913.78125,55681.5,32591.14063,29054.4375,4089.595703,5353.339844,4147.9375,4739.691406,4720.75,3590.689453
595.53171900699/718.417313235971,46,42,68,57,60,43,60,63,147.1811523,181.6431885,466.3024902,376.526123,407.2824707,361.3833008,745.6513672,748.5834961,2517.740234,1315.337891,1192.137695,911,1323.0625,918.8818359,4771.511719,4544.265625,7681.023438,5396.003906,3887.904297,3288.960938,3206.373047,2549.835938,18288.34375,12265.19531,11409.25781,6719.195313,9830.203125,5540.351563,8508.34375,5568.902344,86799.8125,46422.9375,5202.164063,4374.0625,3444.015625,3125.378906,2664.353516,2635.845703
973.355987013432/861.424590302078,79,99,54.61791992,52,107.5770264,48,74,64,187,134.2775879,182,141.3074951,299.8974609,384.6999512,461.2243652,425.0153809,3122.310547,1831.081055,1179.136719,932.3208008,5843.222656,4734.871094,4183.449219,3381.742188,14295.14844,11291.21875,6560.464844,5931.140625,9330.984375,6758.023438,8911.929688,6395.351563,16232.75,10640.03125,58360.4375,33425.84375,49769.1875,41057.53125,51097.6875,25473.82813,5906.9375,4848.355469,4017.125,4209.441406,3811.96875,3232.304688
974.67014888295/1524.00674552547,105.0371094,61,68,65.86187744,113,64,85,73,59,88,69,60,80,77,78,77.69250488,295.7416992,124.4602661,92,115,1046.734375,1105.015625,386.067627,555.815918,7869.714844,5332.292969,1388.580078,1428.001953,2850.537109,2178.332031,2385.841797,1592.101563,7900.015625,5457.199219,58169.125,35816.3125,57308.5,46783.59375,43155.78125,25795.25,917.0742188,710.9072266,701.6967773,527.628418,566.6181641,435.6276855
386.142757482696/609.175408763239,268.2736816,343,467.5522461,282.645752,295.9404297,371.2993164,468,500.3134766,2926.1875,2082,2316.369141,2896.894531,3969.087891,4209.605469,4875.003906,3441.714844,14612.52344,13366.75781,11587.60938,9765.148438,30468.95313,23205.03125,11608,8887.742188,41395.21875,26529.3125,33867.90625,25834.65625,40870.4375,23538.89063,23379.82813,18222.10938,21878.71875,22882.375,38443.09375,30710.32813,57623.9375,45462,28906.625,26985.64063,9073.101563,14703.42188,10831.17969,9980.921875,10573.76563,8029.027344
394.965212637918/563.173236797478,703.7470703,211,260,212.4039307,778.7739258,214.9434814,590,252,1813.973633,1351.389648,5956.335938,2160.048828,8250.859375,3115.292969,2514.443359,1902.548828,30642.07813,7866.382813,13452.39063,4501.234375,16266.84375,10755.92969,6140.972656,5937.488281,21798.9375,15173.35938,17033.17188,13109.74219,21376.54688,18157.89063,15641.60938,10706.05469,39419,11693.75,56792.09375,21038.09375,48244.15625,33331.0625,53073.78125,13063.15625,19550.1875,8128.273438,7429.25,5196.367188,4750.863281,6543.726563
539.418886954324/751.285245342011,937.3007813,517,658,539.4248047,1949.164063,1054.033203,1534.232422,994.8496094,3586.134766,2665.3125,7748.929688,4551.648438,14934.71875,9060.390625,9883,7384.742188,19495.84375,9541.382813,11396.24219,6978.734375,37226.0625,27278.76563,14980.99219,13774.57031,40992.9375,26814.84375,20589.17188,15697.05469,42633.21875,30647.23438,21835.3125,15136.76563,26506.20313,14750.09375,11852.78125,5599.277344,56275.375,40673.34375,44151.65625,20147.70313,15500.53906,11556.36719,10344.14063,8282.25,8022.039063,6883.78125
598.917404442503/716.410379679524,105,175,181,133.053833,300.4804688,218,419,344.2148438,1357.453125,1180.382813,5389.234375,4407.933594,4897.683594,3109.050781,11437.80469,8571.734375,31832.98438,16070.3125,16612.10938,9877.007813,20735.625,16341.32031,63163.15625,61692.59375,100953.375,72622,54365.40625,42908.84375,46365.34375,32611.4375,186394.625,137316.25,130320.8125,81363.625,119861.9375,67926.6875,108257.6875,80597.3125,818621.5,448002,70697.8125,58262.4375,49649.3125,43806.875,38436.46875,36267.9375
911.890490080181/733.47627571687,52,80,46,55,50,42,50.63967896,55,105.4242554,153.1507568,124.359375,79,223.8308105,217.0871582,304.2514648,357,1978.743164,1007.543457,581.0483398,524.1411133,2509.746094,2832.107422,1838.413086,1434.526367,8520.171875,7760.425781,3180.759766,2904.234375,8598.257813,6472.824219,5714.34375,4263.210938,12741.22656,9754.664063,44694.4375,29305.59375,53700.375,45836.90625,47899.8125,28933.71875,5154.386719,4232.917969,3638.113281,4371.640625,4131.574219,3554.064453
393.664844178317/563.173691566104,703.7470703,211,260,212.4039307,778.7739258,214.9434814,590,252,1813.973633,1351.389648,5956.335938,2160.048828,8250.859375,3115.292969,2514.443359,1902.548828,30642.07813,7866.382813,13452.39063,4501.234375,16266.84375,10755.92969,6140.972656,5937.488281,21798.9375,15173.35938,17033.17188,13109.74219,21376.54688,18157.89063,15641.60938,10706.05469,39419,11693.75,56792.09375,21038.09375,48244.15625,33331.0625,53073.78125,13063.15625,19550.1875,8128.273438,7429.25,5196.367188,4750.863281,6543.726563
527.73246042352/700.323869798174,66,52,98.09857178,101,183.0267334,119.2444458,141.9660645,158.9338379,472,300.1499023,1184.708984,851.2373047,2609.708984,1633.307617,600,428.0170898,4450.265625,2429.439453,7079.277344,4138.355469,5743.785156,4401.59375,3535.701172,2945.027344,4283.402344,3159.855469,7562.730469,6797.09375,11714.76563,8154.617188,20274.73438,13199.30469,13599.77344,8348.5,11610.0625,5824.371094,13344.34375,10790.1875,52844.75,24654.75,5231.878906,4596.023438,3663.992188,3317.546875,2824.289063,2841.566406
556.768651058799/880.216434269714,66,49,92.53240967,110,209.7807617,85.5223999,149.670166,212,1126.28125,1061.797852,2643.070313,2045.726563,3709.974609,2850.988281,1505.689453,1482.631836,12310.10156,6823.320313,9914.039063,6042.929688,18491.125,15887.74219,7360.726563,6812.425781,23545.28125,17039.04688,20913.26563,18379.78125,32068.29688,26180.0625,19714.9375,15429.05469,21131.09375,13171.47656,7691.277344,4224.523438,47371.21875,38813.6875,50947.3125,23935.76563,6944.425781,6417.332031,4856.359375,4471.25,4764.269531,4413.4375
533.536985163103/593.167197631858,906.237793,215.5810547,268,171.4782715,931.6904297,193.5058594,622.7407227,270.5610352,430.1821289,159.9459229,781.7817383,269.973877,750,281.7663574,265.9301758,177,1160.599609,608.5063477,522.8681641,204.7631836,1754.863281,1337.34375,666.3618164,605.84375,14420.47656,7652.566406,3121.292969,2190.244141,11227.27344,5223.210938,7201.617188,5391.886719,2205.875,1939.170898,13185.90625,7173.027344,50599.96875,32539.92188,17928.15625,14077.16406,2656.136719,3659.855469,2463.263672,2060.722656,2365.626953,1773
366.760772169682/504.065838600891,1194.164063,314.2463379,87,66,440.1894531,139,2360.279297,588.9765625,8733.679688,5698.371094,265.4265137,113,5386.070313,1579.053711,879.0620117,801,38524.3125,9304.539063,1169.892578,381.5463867,824.1787109,681.0151367,1956.628906,1659.227539,7163.808594,4644.945313,219,182,1646.507813,1262.451172,1840.493164,1338.77832,47783.5625,12890.00781,468,194.4720459,1223.051758,1174.5625,8279.84375,1344.683594,5406.738281,2503.169922,1901.394531,1378.355469,1327.345703,1578.813477
521.188016121848/609.168663620612,78.20391846,65,55,52,56,67,70,71,58.87887573,51,69,54,85,106,107,111.6102905,1859.255859,800.9858398,275.5065918,167.1612549,2086.548828,1256.111328,834.2397461,939.9897461,14703.24219,9414.65625,3925.869141,2919.570313,12236,6913.457031,8919.015625,6538.632813,4686.015625,2410.408203,21656.79688,8954.546875,46932.4375,26646.84375,31313.92188,12741.40625,6131.90625,4025.429688,3826.283203,2825.755859,2844.902344,2584.328125
